Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_HeartFeatureAI
112,20,71,49
40,87,105,56
98,65,109,88
50,105,68,65
81,104,77,98
91,58,113,98
33,59,50,110
82,79,104,95
83,90,102,49
42,42,104,28
50,63,71,104
106,35,45,66
100,38,55,23
116,97,86,97
30,107,84,31
91,96,97,112
114,57,53,100
70,41,72,105
81,111,61,71
102,86,91,117
95,48,74,107
121,91,54,58
71,84,108,97
105,88,83,48
67,43,127,51
131,64,64,29
121,86,92,97
105,88,53,78
109,55,53,71
121,22,64,45
101,62,88,73
53,84,126,97
68,45,72,103
102,34,53,99
10,24,8,102
106,93,71,90
77,113,72,98
68,119,84,17
77,84,135,100
125,73,43,47
66,72,101,85
116,44,56,72
112,65,55,92
45,101,93,85
61,24,101,66
129,96,124,119
116,35,59,42
47,66,114,61
53,106,53,40
77,112,92,79
45,52,112,79
38,51,87,112
113,41,37,25
88,70,111,55
41,82,93,108
98,66,104,92
68,43,97,116
60,105,62,61
102,46,21,83
109,63,46,34
102,57,36,93
33,38,110,71
39,66,104,43
76,41,120,87
95,101,49,79
65,92,61,106
78,105,66,39
100,34,51,31
6,36,33,105
79,105,91,85
55,108,94,67
101,79,80,100
100,86,75,63
42,125,73,48
97,109,43,75
106,41,80,61
36,32,101,83
47,57,103,81
44,99,78,103
57,42,109,80
66,62,49,111
44,107,62,39
26,27,108,55
38,26,33,119
101,21,61,33
17,25,116,58
37,120,24,71
89,106,80,85
99,94,26,105
86,73,112,89
27,70,28,127
36,44,31,105
58,42,100,16
102,11,119,92
57,97,66,104
60,64,19,109
39,45,30,102
94,56,89,121
120,32,65,35
91,22,74,101
46,88,101,125
56,42,113,41
16,124,11,29
100,43,54,55
77,103,99,9
103,116,57,120
78,44,59,107
100,52,62,74
103,83,67,107
92,55,77,100
95,61,56,112
49,78,49,112
104,34,87,63
32,114,25,9
85,80,85,110
45,69,69,105
114,113,90,43
41,103,90,90
102,82,40,64
116,67,98,79
130,41,81,72
53,75,103,93
89,106,61,68
105,11,69,31
70,111,69,38
24,79,31,118
108,94,30,56
102,89,70,63
73,67,43,105
70,51,102,65
119,43,51,75
96,4,107,45
64,66,47,111
14,11,54,101
22,61,67,102
107,73,110,70
127,55,108,70
44,108,86,50
71,49,58,110
88,100,76,60
117,91,96,56
97,110,64,53
92,102,64,102
109,59,56,64
79,102,36,35
73,31,81,103
42,105,48,57
82,89,107,82
73,85,101,65
88,102,88,118
101,104,52,31
68,112,52,56
58,102,18,38
134,76,91,59
110,45,52,45
39,103,102,44
102,67,65,54
20,125,32,39
60,103,85,40
64,78,101,81
57,87,111,33
27,24,110,19
46,129,36,77
109,72,111,68
101,76,91,92
104,18,1,21
84,110,40,90
100,33,134,129
36,110,14,56
38,74,60,116
103,102,67,52
91,129,23,81
106,93,90,71
22,35,59,100
100,56,93,75
80,108,65,71
117,96,95,88
59,83,100,82
33,66,53,100
82,72,103,103
115,62,38,37
114,65,68,77
77,101,70,76
77,37,69,105
50,101,51,86
92,118,57,57
39,113,49,15
59,60,58,111
59,39,103,51
57,101,110,92
103,60,57,68
104,101,61,94
109,88,44,83
49,70,60,109
83,108,104,65
60,112,37,79
101,83,91,49
46,108,90,80
91,59,101,37
70,77,38,103
69,73,111,71
117,89,90,100
55,99,122,12
93,114,96,21
16,105,24,71
75,38,62,113
100,65,73,14
68,36,72,112
87,102,72,99
30,41,34,111
61,107,39,81
103,62,43,80
104,44,76,64
79,45,108,56
106,58,82,78
112,87,103,94
65,107,38,42
82,63,31,112
44,103,42,27
93,102,61,68
97,101,103,95
103,107,77,73
79,106,13,54
24,44,48,100
29,76,115,68
26,110,60,92
76,63,83,102
48,29,109,66
76,93,55,100
111,3,7,23
95,98,106,61
117,90,79,74
87,92,121,60
96,45,108,75
10,68,35,103
45,52,73,118
86,103,82,89
38,32,100,46
110,24,76,42
96,42,101,85
44,45,101,62
66,106,35,45
48,81,109,86
29,38,48,101
45,110,83,50
46,101,70,107
92,119,63,86
59,106,63,60
100,89,46,53
47,102,37,30
29,44,40,103
108,54,89,73
111,65,60,52
75,107,63,79
62,16,102,36
49,100,33,70
34,58,50,110
100,37,37,42
110,54,38,86
92,92,131,117
40,63,48,101
51,87,105,45
83,86,104,87
105,41,58,84
135,97,0,92
85,92,106,77
76,134,48,102
81,39,43,125
112,63,61,52
32,69,127,60
97,54,103,106
71,83,25,109
38,18,105,91
53,102,58,75
66,59,51,112
96,115,57,92
93,40,80,111
7,58,84,103
91,100,104,101
77,104,29,42
130,85,42,67
57,74,111,82
105,95,73,87
57,51,104,76
33,37,104,78
48,58,114,104
100,40,79,69
111,72,110,31
71,53,107,57
15,31,29,105
38,102,82,66
25,102,32,57
104,29,65,18
50,80,103,91
115,62,77,70
64,78,115,103
97,116,41,34
81,100,81,62
26,106,39,45
82,75,67,100
47,15,102,52
56,90,96,118
73,88,102,25
52,11,53,100
111,67,46,28
48,68,107,65
84,107,105,100
78,50,100,60
102,51,94,77
23,79,109,41
83,47,103,55
113,64,85,26
44,87,100,21
62,111,89,62
41,33,93,121
104,55,62,31
106,57,36,89
61,104,87,36
64,25,39,124
85,72,81,122
44,59,112,73
100,83,93,84
109,59,4,44
87,2,83,116
53,41,125,69
74,102,41,35
48,101,60,79
81,111,48,84
51,61,76,100
106,63,83,72
109,74,36,69
37,104,69,42
68,52,114,54
73,66,43,106
9,84,55,104
107,43,63,75
102,33,72,81
40,45,126,41
17,72,101,62
67,69,43,109
89,37,59,103
104,101,29,54
78,63,100,83
110,54,83,41
34,100,64,54
48,56,102,82
84,96,57,123
84,17,50,101
110,84,74,92
68,70,80,106
41,36,33,106
65,119,85,127
101,10,73,68
127,130,124,87
104,97,57,30
42,121,84,41
98,75,102,49
28,104,82,38
51,111,35,55
62,102,131,65
94,100,63,103
66,117,32,37
93,100,20,39
48,120,77,43
20,103,59,70
66,116,106,72
60,28,111,53
61,59,51,117
85,77,101,97
67,23,94,104
35,33,107,41
34,107,69,114
40,102,45,29
44,77,103,64
57,103,82,82
5,29,126,20
25,120,67,40
43,35,93,117
75,69,67,113
63,104,34,87
114,34,61,79
38,94,89,103
58,98,107,61
64,59,90,111
47,100,91,86
38,121,11,82
11,87,87,103
92,25,107,100
105,118,79,130
51,89,103,81
102,11,97,42
79,85,86,110
92,119,38,39
52,29,28,107
88,82,110,80
58,58,93,115
116,47,63,62
94,37,56,101
104,83,32,105
84,100,55,85
87,65,88,120
20,108,16,0
36,110,31,39
49,81,58,100
54,80,71,119
105,85,35,63
97,122,100,41
100,99,87,74
97,96,25,106
94,38,100,92
83,91,29,121
25,74,118,35
84,46,116,42
103,64,49,72
112,83,78,15
25,39,85,103
104,59,82,79
50,67,84,123
75,50,51,112
131,69,106,54
77,39,111,25
117,101,91,87
57,98,97,108
84,97,109,106
77,103,99,81
65,72,100,51
84,40,60,104
104,100,81,39
64,76,84,100
114,32,78,100
65,106,46,35
92,77,101,54
59,107,82,76
86,97,60,117
90,88,104,42
101,91,74,58
22,25,28,105
110,60,59,23
60,107,60,133
104,58,104,94
48,123,31,50
105,94,53,72
84,68,125,47
39,53,60,100
41,48,114,49
52,89,103,80
40,80,109,95
25,81,42,104
69,116,83,92
18,49,123,62
77,116,62,105
57,60,82,125
68,95,112,85
83,96,102,79
109,83,69,27
101,83,75,65
110,101,90,95
64,77,108,75
62,112,38,76
60,9,34,113
78,123,104,55
106,18,42,50
35,107,94,88
48,106,99,107
37,67,46,102
108,27,80,1
54,77,90,103
46,69,34,103
78,57,49,104
104,47,74,63
34,111,65,42
11,12,7,114
61,70,117,40
40,82,116,14
128,86,131,87
46,105,53,48
48,103,91,82
100,34,32,50
86,103,24,75
109,54,19,70
28,32,90,102
79,86,115,80
107,75,23,83
56,54,100,42
77,112,51,48
103,103,96,58
108,54,59,31
107,78,66,37
89,70,102,63
102,42,101,79
113,78,93,40
65,105,50,68
47,111,59,35
107,48,36,61
50,64,122,52
65,105,39,115
80,78,103,99
57,94,104,105
57,54,106,35
30,36,103,83
113,1,78,96
114,68,42,100
69,100,51,68
119,55,75,39
65,117,35,71
74,81,91,114
82,100,80,62
95,55,107,67
28,109,58,57
34,109,35,110
86,83,38,117
99,102,70,89
77,78,105,28
81,106,83,90
101,53,32,30
44,56,75,113
81,96,102,45
74,59,105,86
52,93,75,104
79,125,50,70
86,18,100,48
60,51,77,100
110,99,72,79
87,112,68,93
101,108,108,79
60,112,51,65
110,83,65,66
102,52,34,28
100,83,96,81
60,68,81,115
88,102,71,63
68,62,54,104
101,83,120,56
80,57,47,104
55,103,60,106
100,126,67,31
57,51,72,108
41,27,105,79
40,105,71,72
72,26,88,102
46,90,101,87
112,88,61,63
103,71,36,78
87,75,35,127
112,47,27,66
115,80,57,0
100,68,50,34
107,68,70,79
92,100,74,58
100,35,26,91
103,70,64,51
40,101,45,30
61,101,73,53
106,43,92,83
70,70,98,122
26,130,36,60
69,86,115,90
72,77,118,93
93,66,95,106
40,118,81,49
94,81,79,106
70,106,92,56
74,105,28,81
47,92,101,84
61,78,113,72
53,37,80,118
37,103,76,72
58,31,101,26
30,87,102,69
93,85,112,70
83,107,37,61
94,116,37,113
33,93,117,81
90,76,92,102
29,53,100,34
122,75,72,91
105,68,24,19
78,109,102,71
95,112,81,72
78,80,100,102
109,21,29,93
60,62,48,118
100,48,41,27
67,54,101,66
103,75,38,72
95,100,45,48
115,87,55,67
47,111,33,25
111,110,39,64
91,41,55,101
106,51,82,49
87,63,35,103
99,62,107,92
75,105,91,89
55,86,106,77
101,65,92,102
115,75,44,90
11,67,49,125
49,109,71,95
28,109,91,96
61,112,75,76
109,42,57,80
110,26,90,98
109,36,36,35
114,64,83,63
111,59,92,26
68,97,103,56
46,94,101,83
114,80,100,30
37,19,109,87
29,32,73,118
89,20,35,108
120,78,59,67
57,119,93,91
84,32,63,109
124,110,60,66
81,58,109,76
35,79,105,105
97,110,64,89
47,119,64,58
102,47,5,62
38,38,36,104
100,66,42,80
37,44,102,69
64,100,53,71
104,35,26,51
44,58,104,82
105,96,35,88
86,82,106,86
41,31,104,76
56,70,102,60
129,71,46,42
71,54,101,62
74,61,106,47
115,39,33,29
109,66,70,43
98,19,111,60
58,61,100,105
78,102,34,74
62,119,52,55
57,49,103,79
39,77,105,67
103,42,79,100
109,45,82,88
105,56,48,43
38,58,117,39
60,112,62,54
72,103,31,46
23,48,76,105
56,94,53,121
81,115,26,66
52,66,97,109
55,75,124,70
81,85,102,92
78,100,79,103
51,102,64,71
108,42,38,28
106,52,20,38
54,103,18,77
23,74,52,103
129,95,43,57
74,37,68,109
73,114,70,67
49,102,102,35
113,85,91,71
68,61,116,79
93,100,92,75
39,100,56,57
111,29,74,74
55,57,108,32
103,77,88,56
116,103,90,87
103,100,58,63
121,82,92,29
88,85,104,47
57,93,52,122
101,60,41,86
115,31,21,85
110,46,62,34
115,104,54,87
112,54,21,65
62,38,118,70
42,94,84,104
105,84,68,67
78,104,67,75
114,101,83,26
101,75,83,29
71,84,68,101
69,93,96,102
129,63,74,58
111,82,31,28
99,104,56,101
62,57,103,102
110,84,91,75
47,47,109,49
104,89,56,75
111,44,99,70
119,103,87,51
86,102,69,67
84,100,18,50
82,110,51,45
77,91,84,108
75,60,79,110
103,33,97,55
90,116,85,69
94,112,99,55
115,28,54,19
114,54,88,68
32,92,63,101
107,94,54,69
100,71,103,50
112,66,82,64
95,51,106,108
72,36,73,107
29,29,117,41
76,58,101,89
71,108,41,32
59,58,86,121
91,37,60,100
119,73,94,74
63,67,100,58
84,113,91,108
81,63,78,102
105,40,60,47
87,71,55,111
18,58,94,118
27,103,53,69
104,58,88,74
104,73,98,49
72,65,86,101
46,94,46,102
87,93,100,80
53,92,79,100
100,102,71,51
25,106,65,92
89,109,49,41
37,101,25,53
42,75,118,89
85,102,97,76
114,89,68,53
108,103,64,85
21,109,43,79
63,65,108,52
113,87,56,68
58,58,111,61
12,100,40,28
79,65,77,103
106,54,21,35
73,58,56,101
60,65,116,83
68,119,67,34
107,56,109,88
110,62,29,87
66,77,45,100
58,93,32,105
100,62,90,72
55,60,111,98
79,108,97,76
85,105,22,40
48,65,104,71
101,65,20,30
81,103,76,64
45,76,100,31
14,109,36,57
83,118,46,77
89,60,131,44
29,102,36,49
105,73,29,81
84,38,110,56
62,68,92,102
78,85,61,100
135,63,67,95
82,86,99,129
106,56,63,99
51,102,76,59
52,103,12,85
106,79,51,16
119,125,59,93
110,94,76,80
101,63,26,62
78,103,16,19
90,69,109,92
102,32,26,20
88,99,107,66
67,97,55,105
66,103,54,29
22,101,33,96
111,27,72,78
42,119,61,102
68,51,103,102
111,27,17,25
76,85,50,113
32,120,99,37
67,105,33,47
80,101,106,73
13,114,78,47
85,30,54,119
107,31,75,75
103,43,70,72
107,78,71,32
96,60,107,61
81,101,111,31
101,39,38,74
110,94,68,88
104,41,88,91
67,102,82,73
35,26,110,9
113,92,71,120
74,104,89,93
39,36,101,76
91,73,93,103
48,45,55,104
66,87,104,103
59,122,78,101
100,42,41,33
107,69,86,62
26,15,65,110
89,112,98,97
107,57,103,93
108,92,39,85
