Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_BaseAI
63,105,68,88
25,110,52,29
80,104,50,54
27,115,73,109
31,101,15,69
51,102,73,26
43,45,16,112
111,62,20,59
124,80,55,29
99,111,34,8
52,47,110,43
52,71,109,56
100,30,110,48
114,66,82,98
43,53,87,105
68,102,69,85
31,8,39,102
69,106,57,92
55,21,113,27
31,101,64,56
108,25,29,54
65,64,87,108
28,100,60,64
106,80,63,75
78,107,39,64
83,62,78,101
50,58,71,109
24,71,89,104
109,31,28,12
77,34,29,112
113,99,81,67
79,105,113,63
73,117,71,27
63,63,112,86
93,100,65,102
51,62,67,108
35,57,110,50
59,73,103,89
52,85,101,86
48,41,76,123
96,104,49,111
35,45,22,114
54,103,55,76
111,93,39,9
86,112,68,94
63,72,100,53
57,123,49,59
77,15,91,105
72,111,103,74
60,79,109,112
50,34,16,116
89,62,94,115
122,62,85,91
96,80,78,106
54,49,102,47
83,59,106,76
29,43,30,114
100,73,38,41
103,87,57,41
118,89,71,82
89,104,44,51
106,75,61,82
113,37,51,51
66,61,103,58
76,56,45,111
55,111,102,92
101,65,74,48
53,112,79,44
89,110,43,82
76,93,111,44
51,105,74,22
65,74,84,101
86,93,119,62
107,107,69,77
41,105,60,46
13,13,105,49
42,100,88,94
76,106,71,71
74,56,121,73
80,35,98,111
100,43,32,41
69,106,49,100
101,62,107,90
53,112,36,87
51,110,51,40
49,54,100,85
30,46,109,67
37,52,107,56
83,103,88,86
79,80,57,108
105,24,23,28
50,125,77,36
109,52,80,47
21,25,101,33
70,22,101,59
114,94,44,72
41,113,75,23
81,15,100,56
66,114,50,94
63,111,28,50
112,4,51,49
44,88,90,102
53,51,107,41
109,20,50,73
72,76,102,74
109,50,74,55
100,97,55,72
37,40,107,32
37,63,16,100
99,87,61,113
96,66,49,113
55,56,105,36
100,55,81,88
49,106,69,64
72,25,53,102
108,91,39,86
72,111,37,68
89,101,92,78
113,82,39,54
102,41,62,83
84,59,39,106
26,104,95,27
83,92,48,101
83,113,76,88
69,53,112,90
106,57,40,85
78,102,68,76
129,31,22,34
81,102,72,69
8,24,83,101
90,96,106,68
112,63,44,33
80,88,100,92
115,49,51,37
106,61,72,49
54,64,107,99
21,109,69,17
121,24,33,74
110,74,75,101
65,72,44,107
69,49,108,26
71,50,101,66
93,46,83,102
100,60,76,88
56,67,115,86
106,29,92,25
104,75,37,36
57,79,80,108
84,116,50,74
103,91,84,46
69,102,53,100
101,116,97,82
85,59,109,71
121,90,89,132
70,112,93,49
111,54,38,49
103,90,128,75
78,80,112,90
40,94,51,103
59,91,103,71
30,69,42,111
76,41,95,112
11,12,44,113
97,55,97,111
110,57,82,111
27,95,102,64
123,101,76,60
29,75,33,115
106,39,49,94
105,14,55,42
83,41,56,108
65,102,64,57
104,86,114,128
114,57,59,58
103,76,82,27
103,87,95,75
101,80,111,68
83,80,96,101
52,71,60,105
6,17,103,18
62,106,96,96
108,78,74,64
73,107,55,53
41,117,101,65
54,97,37,100
77,111,98,74
54,103,89,78
22,117,47,30
43,74,105,66
101,93,20,110
102,79,90,89
113,83,85,79
64,107,104,85
43,35,118,92
100,85,122,89
46,15,109,46
112,63,57,56
14,15,12,103
12,35,106,27
105,92,89,110
34,52,16,114
35,102,82,69
73,100,71,44
115,90,53,66
100,36,68,12
102,62,39,13
101,71,70,46
52,105,32,99
100,37,86,65
36,119,98,107
104,63,68,89
103,94,84,79
43,95,108,78
105,45,63,75
81,59,48,100
60,114,48,66
45,98,109,72
67,109,28,48
74,103,51,96
105,90,60,105
57,77,107,83
79,37,69,103
52,103,103,66
89,94,28,113
108,70,91,55
66,75,118,29
93,105,97,101
79,100,88,21
104,95,98,99
63,115,107,75
126,44,55,63
99,91,112,22
69,52,61,106
108,64,68,84
73,73,105,73
70,100,111,79
63,105,46,74
87,26,111,100
45,46,54,107
79,103,63,79
78,104,94,84
103,75,116,102
100,90,65,69
104,49,87,84
99,72,101,88
110,78,85,87
76,70,102,76
100,47,98,79
86,104,57,77
74,88,90,108
101,20,50,81
77,56,51,104
93,25,108,62
55,72,87,110
58,91,114,97
83,75,104,62
75,95,110,44
117,95,50,98
113,81,85,81
55,50,42,105
33,40,105,38
117,77,29,101
75,110,46,21
117,103,41,63
90,86,107,77
115,59,95,91
108,106,35,111
75,48,64,101
18,14,41,107
90,78,54,102
97,117,73,73
100,24,9,47
43,62,104,43
61,53,74,100
46,89,111,114
40,76,114,58
100,99,35,90
62,101,65,24
49,55,100,84
45,91,112,40
104,9,92,83
69,100,80,39
101,44,116,63
97,90,108,101
107,54,65,98
38,68,82,100
72,92,121,75
104,66,79,75
105,67,56,60
65,96,105,22
79,55,39,115
101,38,56,93
76,102,40,70
88,111,54,107
32,111,30,43
75,82,65,102
117,75,91,77
70,85,115,90
44,93,110,77
105,51,35,25
46,116,100,62
122,80,52,34
16,79,100,93
68,113,101,42
75,96,107,46
27,60,107,58
28,40,107,77
43,70,111,100
105,37,79,31
72,100,80,36
109,74,91,86
32,89,103,64
74,60,111,43
116,42,90,76
76,45,30,101
97,63,115,49
98,60,96,106
47,81,87,109
57,58,33,104
60,57,34,101
47,105,45,55
111,86,74,89
97,85,40,102
51,116,93,64
115,53,27,57
62,36,116,74
58,14,111,105
22,109,33,88
107,24,29,56
107,82,99,72
105,74,49,60
125,108,92,107
70,53,94,107
107,65,86,66
96,100,63,29
56,107,45,44
92,111,74,11
72,56,60,100
51,55,93,125
85,41,115,83
84,102,43,59
92,62,107,99
42,40,82,124
104,63,98,59
95,38,112,43
104,64,65,55
49,76,54,109
74,72,68,110
100,89,64,71
70,102,70,46
51,42,94,101
43,82,60,103
89,86,48,101
97,103,105,55
70,94,111,49
108,68,63,85
85,58,39,106
33,45,110,64
93,97,115,91
56,95,104,105
30,25,97,100
50,66,101,71
80,96,114,70
104,49,56,43
97,108,59,60
76,73,72,103
91,110,66,93
56,112,53,31
66,102,96,96
95,124,125,88
116,80,94,70
88,80,105,87
98,99,20,107
98,87,98,113
107,79,68,34
62,108,82,72
124,47,85,104
66,115,87,56
51,82,117,38
50,71,106,97
52,80,105,87
74,29,118,103
56,97,103,104
100,55,97,72
52,104,43,17
112,108,84,92
45,84,50,109
63,59,103,99
102,77,95,86
23,83,108,74
100,76,54,94
75,101,74,74
124,85,98,125
57,119,26,50
110,55,76,83
88,55,125,92
101,52,38,61
96,92,110,62
91,56,20,121
92,70,105,93
59,100,58,71
43,109,53,47
31,90,77,126
116,30,8,26
104,93,79,84
61,63,64,100
42,90,118,74
94,76,110,80
84,72,103,65
77,107,50,54
