Player1,Player2,Player3,Player4
LowAI,LowAI,LowAI,Smart_ShootOnLowAI
103,90,84,83
74,119,75,92
114,78,73,23
55,101,56,40
91,96,100,73
103,27,68,90
50,66,61,111
97,86,109,68
42,70,118,22
115,82,92,107
38,20,100,58
105,91,39,53
66,61,60,101
68,73,71,112
118,38,69,63
48,99,102,75
66,102,88,32
53,42,104,17
93,101,78,88
87,15,66,120
71,63,88,102
37,29,85,101
64,53,69,102
59,61,114,90
80,57,48,103
73,112,103,72
45,103,66,38
92,17,103,112
69,62,89,104
114,100,82,28
82,96,101,81
5,102,90,55
104,82,89,85
60,66,97,101
20,117,64,51
102,40,59,87
90,68,101,65
101,103,55,65
51,109,47,45
109,91,97,63
83,103,12,54
109,53,98,64
68,79,113,64
54,104,36,58
107,119,98,72
80,36,110,98
114,79,38,93
61,101,55,35
101,77,76,70
58,71,59,100
25,100,79,120
69,64,119,72
37,92,53,106
33,42,39,102
60,63,49,116
86,24,103,75
54,73,103,58
63,100,56,69
78,64,101,45
105,68,121,66
28,102,87,35
79,112,60,37
108,43,55,82
88,80,119,73
20,106,25,29
95,59,66,104
104,95,82,79
58,106,97,99
107,104,65,48
94,37,108,49
101,85,64,74
134,71,86,69
94,118,104,80
101,41,33,41
50,48,84,106
87,82,47,108
96,98,63,103
60,116,83,65
95,55,107,67
83,106,46,89
75,106,95,84
39,107,41,65
98,108,97,57
45,104,58,81
16,52,101,47
49,79,51,109
70,100,98,92
76,51,25,100
47,52,116,37
52,28,23,113
41,36,116,59
29,50,100,73
18,53,43,102
87,77,51,109
107,64,64,89
96,61,116,87
95,54,33,106
102,96,66,96
52,46,89,101
32,103,39,42
44,119,49,76
80,108,24,76
113,69,70,108
110,71,96,47
108,53,43,48
43,111,79,19
34,109,65,44
75,47,61,105
98,74,106,46
41,92,45,110
29,77,104,42
79,66,67,112
109,52,84,43
85,66,106,103
83,118,52,107
69,57,89,109
94,97,118,87
74,58,41,115
3,114,33,30
81,101,40,102
84,99,76,101
107,37,64,80
116,44,95,105
70,29,77,112
97,105,89,105
111,107,43,63
78,73,109,28
112,85,83,80
118,74,78,18
82,105,92,81
117,83,54,70
107,62,64,55
107,48,69,100
90,68,113,89
89,45,104,86
90,83,73,114
21,72,118,77
68,107,58,55
119,57,54,22
58,71,79,116
62,62,121,43
67,100,82,111
41,47,115,49
33,105,53,25
37,92,71,124
112,42,55,43
105,39,64,116
104,56,12,44
68,36,40,108
98,106,112,116
64,100,50,74
101,34,34,47
64,126,76,94
102,47,45,22
25,98,57,108
62,12,108,70
88,112,91,69
17,101,37,25
75,68,106,75
110,86,103,97
63,99,95,103
57,106,31,22
42,25,100,85
28,51,104,33
66,107,63,52
114,52,56,66
95,91,70,104
107,36,69,40
83,108,55,78
102,53,86,47
37,107,63,81
43,40,107,26
92,109,84,75
103,103,48,70
50,121,52,29
50,68,104,30
42,103,45,62
100,79,110,71
52,41,18,105
60,97,84,119
87,50,102,49
100,49,40,63
72,51,95,106
94,79,82,105
68,104,55,61
65,86,120,53
101,29,50,36
99,51,94,116
93,52,18,125
73,102,24,89
67,107,85,29
119,43,80,46
112,64,72,76
100,61,77,50
89,105,54,76
62,57,101,68
115,84,98,99
40,94,49,105
92,57,100,75
57,89,34,108
40,102,104,42
67,106,94,57
111,63,95,91
102,89,46,87
64,88,35,101
101,32,88,67
61,81,112,70
102,23,60,67
75,93,107,49
108,40,47,57
69,74,44,101
79,101,89,91
115,84,93,104
105,85,67,67
109,77,93,81
90,82,47,105
56,56,82,130
71,102,100,87
102,77,75,70
89,83,101,87
74,31,104,79
91,76,105,88
114,42,59,37
87,56,79,102
60,111,90,63
82,61,106,75
100,105,99,92
106,112,51,91
59,100,33,60
63,110,83,32
100,88,82,90
17,18,36,109
90,31,67,100
65,71,87,101
89,86,122,63
114,36,41,61
87,40,93,104
102,81,96,45
82,92,101,85
53,92,102,77
97,75,98,126
60,108,96,60
80,115,60,69
74,109,109,68
107,40,101,76
87,53,100,84
34,105,40,37
108,33,95,88
101,81,81,97
118,62,38,70
101,88,88,83
101,77,59,51
79,54,101,54
75,93,113,43
100,43,58,87
49,60,103,112
75,77,105,67
120,90,72,78
45,100,78,29
88,40,56,104
50,59,59,120
79,32,20,121
116,80,106,58
121,74,41,88
58,52,64,114
46,8,59,103
65,112,25,50
84,110,88,42
69,35,52,132
47,101,13,91
100,55,86,47
61,119,75,69
85,64,106,69
110,67,59,88
34,67,111,40
90,90,36,108
110,110,87,125
27,126,32,31
66,72,84,102
60,125,91,84
102,62,80,80
73,105,75,35
51,106,8,51
82,94,113,35
59,109,64,92
100,86,83,91
63,44,100,45
114,60,53,61
100,81,33,74
56,47,81,104
39,76,110,63
100,111,38,39
114,40,83,51
78,106,57,83
102,114,44,64
65,85,73,101
59,90,105,70
78,72,115,95
96,43,103,82
56,44,114,74
77,46,58,107
44,77,106,97
106,102,47,69
102,35,53,62
14,43,37,122
103,67,77,77
56,79,104,49
121,23,41,67
101,102,48,73
89,95,102,110
63,107,79,39
41,62,115,70
124,43,36,85
32,100,89,67
55,109,38,50
109,40,45,58
45,67,101,39
37,31,104,8
47,23,100,46
100,48,104,72
37,114,59,42
117,71,89,47
40,49,111,52
83,113,74,90
24,84,106,74
108,73,72,71
100,84,46,58
54,119,36,43
32,85,63,108
66,37,77,108
60,109,64,91
105,91,45,47
79,74,97,110
50,112,82,80
103,105,101,51
64,62,78,120
106,96,97,97
39,32,69,112
107,18,77,50
114,59,64,51
38,41,63,110
46,102,62,78
65,42,109,36
60,52,113,99
62,53,111,98
39,61,103,13
57,107,89,71
113,33,27,43
85,69,118,88
106,92,69,93
105,79,74,102
51,85,101,51
54,65,95,110
126,97,69,68
87,92,78,103
88,61,126,85
108,87,68,61
26,125,39,26
87,60,100,77
45,67,112,100
88,72,112,52
96,106,37,49
80,114,86,80
97,54,68,105
103,37,107,77
33,55,57,107
116,41,64,31
58,95,116,55
112,23,87,66
92,90,110,68
105,74,55,90
29,55,120,84
101,48,87,52
38,51,103,24
85,116,85,110
38,105,19,18
56,67,10,119
69,134,42,43
32,54,109,57
99,118,109,70
54,111,36,51
82,75,116,87
98,111,68,83
118,17,66,87
