Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_HeartFeatureAI
64,76,68,116
79,74,104,67
121,104,79,56
100,40,102,10
81,44,48,115
102,83,37,66
51,122,100,123
13,102,20,45
53,130,90,123
111,66,48,99
109,62,92,97
105,62,75,10
66,104,45,37
14,103,46,89
107,89,98,66
101,64,49,74
49,88,102,49
103,82,78,61
102,71,47,104
112,48,82,82
80,57,87,100
57,67,103,61
63,102,15,108
53,88,118,29
43,103,51,55
106,64,101,89
106,61,64,93
107,85,75,93
72,51,98,103
109,83,46,50
89,25,46,128
58,109,88,105
26,42,103,9
101,54,77,92
70,91,108,55
110,104,64,82
109,55,88,72
106,97,107,86
85,115,69,55
112,88,68,56
64,54,116,54
81,97,108,74
115,109,97,39
62,55,56,115
55,105,5,51
61,36,104,51
104,54,63,67
71,13,111,57
43,37,64,108
110,43,69,102
110,108,96,46
66,104,83,107
114,99,85,98
95,126,87,88
94,105,69,92
69,111,63,81
100,65,58,65
80,58,83,103
108,115,77,96
53,112,70,89
38,21,113,44
16,69,106,97
79,106,64,75
94,40,53,101
108,105,61,86
91,67,101,29
41,54,104,17
54,57,107,70
49,100,63,76
64,59,22,107
96,102,67,95
87,66,120,87
114,94,61,91
98,65,87,110
33,120,60,75
74,67,104,7
27,57,100,32
45,29,120,22
80,33,111,28
85,98,119,22
84,53,108,43
57,109,8,78
98,85,108,69
105,46,98,75
66,39,109,74
73,48,101,30
46,110,57,111
67,62,88,107
112,65,81,66
34,44,27,111
101,78,96,85
87,105,58,74
26,92,101,33
67,62,104,55
113,77,74,60
102,84,36,30
121,32,35,28
64,109,99,52
75,85,113,15
101,80,39,68
56,71,96,101
15,101,18,10
87,64,107,30
99,38,84,103
115,51,17,69
47,69,103,69
33,102,69,84
46,101,51,54
58,85,108,109
71,82,32,103
70,104,78,108
61,78,70,115
90,100,50,48
61,47,78,102
62,104,39,11
86,56,93,125
55,74,48,111
27,104,29,56
103,46,79,24
45,51,43,113
50,107,66,65
46,117,68,57
73,100,46,105
96,91,108,65
61,118,68,77
46,119,33,54
79,106,24,43
103,35,33,45
82,80,98,100
61,78,68,117
100,52,106,102
39,109,39,29
46,43,107,20
84,87,119,70
114,114,100,68
113,73,59,115
116,8,34,94
100,81,105,110
103,71,25,53
93,70,61,100
57,33,103,23
83,90,116,71
100,73,45,106
69,100,87,68
30,104,36,10
37,111,80,60
103,97,94,66
109,70,81,64
43,112,71,62
84,105,58,77
63,106,56,63
35,114,62,41
105,26,55,66
24,49,103,40
81,57,67,119
102,67,86,33
68,68,50,102
45,44,101,62
115,69,22,46
112,83,62,67
120,39,18,39
95,78,77,110
72,112,90,86
63,110,47,68
43,96,84,101
31,100,87,34
79,9,113,87
67,103,18,64
93,108,41,82
29,103,59,97
69,36,108,111
52,64,113,23
71,95,112,82
134,81,93,16
103,78,86,57
47,90,45,106
113,62,58,91
89,62,112,97
93,36,102,93
37,66,78,107
93,82,46,103
105,84,49,50
56,77,52,103
102,90,95,37
44,83,58,103
104,66,70,48
109,67,41,71
55,87,103,115
90,100,86,120
105,82,46,91
43,57,108,44
81,103,62,42
73,73,100,114
99,76,99,122
96,78,103,47
124,81,28,55
132,22,53,45
64,41,114,105
103,37,62,50
67,85,102,106
