Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_HeartFeatureAI
121,66,65,36
106,80,98,40
116,68,76,64
41,68,101,42
31,76,45,100
34,16,108,22
132,52,85,91
34,108,34,76
77,76,112,95
70,44,70,104
86,95,108,107
86,110,69,23
100,55,31,66
65,55,55,113
69,98,122,35
70,72,104,78
49,29,106,68
32,77,108,35
67,108,71,42
92,82,43,107
129,82,94,55
32,67,108,81
107,58,92,67
28,25,103,60
28,64,110,86
79,89,117,75
62,71,117,74
37,115,49,87
68,112,102,78
87,115,89,69
66,17,102,67
102,86,50,50
104,106,73,77
105,69,45,69
101,57,57,73
53,74,85,112
109,68,54,57
78,86,105,91
63,101,79,81
78,114,27,69
102,61,35,54
39,33,108,108
83,71,67,103
78,89,120,109
106,92,67,95
88,84,41,111
94,98,109,95
73,60,107,48
65,20,54,113
52,78,52,106
91,58,81,130
71,55,49,113
99,71,53,101
104,76,55,53
72,62,47,107
102,35,73,6
68,74,103,79
100,89,80,55
102,92,89,113
112,31,81,100
64,63,101,96
120,57,81,66
87,87,108,78
81,106,29,72
56,42,46,108
117,113,55,111
81,64,55,124
51,11,43,111
106,20,52,74
91,79,108,82
84,104,64,72
63,63,19,107
66,26,104,92
72,80,63,109
100,51,97,76
126,87,53,58
110,111,93,82
71,100,74,79
120,50,55,63
57,62,110,59
75,47,105,61
56,69,119,44
87,69,110,94
98,96,101,65
67,45,84,128
85,53,103,83
41,112,22,41
118,40,105,61
52,70,116,86
38,54,52,108
24,69,79,116
43,67,39,103
85,87,72,116
48,117,47,76
65,123,50,50
63,57,111,93
108,63,56,97
75,113,73,63
42,58,107,81
95,62,53,114
94,73,85,108
100,17,13,86
79,96,118,31
101,49,59,43
77,86,61,100
29,73,101,85
51,91,36,110
57,102,56,73
102,71,88,63
45,93,101,49
112,75,59,78
111,92,34,15
69,119,64,108
115,19,73,45
4,51,70,127
48,37,123,80
102,100,60,26
105,65,102,52
64,95,87,114
109,30,68,9
108,102,82,104
95,126,51,124
8,127,54,99
54,54,112,32
63,109,18,62
90,85,120,101
95,79,77,109
88,14,105,45
3,103,67,43
70,63,35,120
117,98,79,30
27,85,111,101
91,80,53,100
63,107,41,41
82,72,100,34
73,103,101,83
49,77,49,113
35,58,107,88
52,102,17,45
72,105,83,28
69,95,53,107
59,92,114,59
88,74,50,112
103,104,61,92
100,57,83,48
82,100,81,97
120,50,40,42
35,102,31,12
101,64,111,84
18,47,49,102
59,2,8,111
47,41,62,102
105,72,15,60
55,89,38,106
77,46,65,100
96,92,72,100
56,63,95,110
94,107,61,62
91,56,110,67
78,29,103,114
82,117,34,55
133,50,118,95
76,102,23,51
85,42,110,87
121,27,27,41
79,66,123,92
107,76,69,108
61,109,94,60
110,79,30,69
44,36,94,114
38,12,28,102
58,104,59,67
67,80,107,34
108,85,82,49
43,105,54,50
99,106,93,62
51,35,103,99
78,48,106,92
35,28,82,107
55,76,51,106
24,105,83,40
35,114,72,67
75,47,105,61
103,99,100,94
72,89,84,115
115,98,42,105
18,105,83,46
91,106,59,104
77,84,110,53
27,77,106,78
78,98,100,84
53,106,96,69
85,105,69,101
97,28,51,112
50,59,114,101
77,21,77,113
102,70,92,96
11,121,30,18
102,64,68,18
121,49,67,15
33,69,48,102
73,76,113,62
102,38,24,88
101,64,14,1
103,94,91,72
105,77,48,22
55,81,115,109
102,81,82,95
75,63,42,108
91,100,74,95
8,101,90,53
100,94,76,90
47,117,75,85
77,90,103,54
107,15,88,6
57,89,113,65
97,106,84,73
103,26,20,103
96,87,101,112
85,33,101,69
90,66,96,108
76,41,21,114
44,95,8,105
35,105,56,20
47,117,66,58
67,115,69,109
113,42,47,86
57,58,24,113
100,78,92,90
57,61,68,102
72,40,68,108
115,68,74,103
112,104,52,56
45,87,102,54
62,38,126,62
4,60,109,79
70,94,105,55
64,40,105,79
86,118,88,68
48,106,43,55
109,84,58,109
102,50,101,71
0,101,19,24
80,71,71,102
50,107,66,101
87,96,112,101
55,106,108,19
70,98,101,91
52,112,134,98
66,34,110,42
102,61,98,99
43,33,114,26
76,66,117,65
29,25,26,100
37,92,42,117
46,80,88,110
62,118,71,73
104,54,54,40
70,102,90,98
93,31,111,89
108,72,65,79
48,78,114,48
119,77,35,93
104,75,96,49
66,102,23,97
43,104,128,85
56,58,108,30
4,54,110,48
18,83,109,78
50,89,48,101
80,71,51,122
109,46,48,49
15,34,51,116
43,93,102,86
80,110,87,83
59,106,99,60
51,102,47,52
98,97,45,120
74,95,37,118
98,104,101,93
112,97,92,59
44,70,108,66
121,70,73,60
115,72,108,101
109,40,34,69
74,96,78,112
101,26,49,76
60,68,44,116
54,74,110,50
100,84,87,53
102,90,57,39
86,67,119,52
67,104,36,81
126,23,74,65
34,99,105,50
99,81,129,87
60,70,103,91
99,69,107,85
78,37,54,119
53,101,38,24
70,31,100,51
86,107,75,56
87,100,116,93
115,61,52,60
76,69,112,103
124,57,85,94
107,31,24,18
52,108,76,52
108,99,93,96
30,72,116,70
19,51,110,72
88,71,101,100
26,115,81,66
61,18,105,68
47,57,84,100
35,35,45,101
73,105,64,82
70,63,50,105
61,80,125,94
79,88,108,85
103,74,21,18
87,55,81,101
117,47,24,28
76,110,39,63
116,59,96,53
68,109,74,109
95,89,63,113
72,64,129,23
50,63,75,100
79,59,38,112
71,86,105,62
82,115,55,108
113,30,117,100
72,112,53,87
58,95,121,50
64,123,63,110
105,43,83,57
48,113,37,54
110,72,32,38
63,73,117,35
69,100,22,25
26,34,13,107
33,70,104,81
58,102,33,95
112,81,76,91
56,48,80,104
106,67,68,47
81,28,36,107
102,31,65,18
34,103,54,97
83,101,62,78
111,88,78,83
57,66,100,101
90,96,103,71
56,65,109,58
83,110,81,86
109,107,33,75
59,116,50,63
100,95,75,90
63,58,67,100
41,36,100,75
42,108,15,87
24,95,102,67
119,85,90,66
102,67,74,45
107,77,40,64
97,103,61,63
79,88,107,50
11,50,87,104
67,97,92,104
77,102,38,35
60,72,85,107
58,89,77,100
125,39,50,2
51,32,56,113
74,78,69,103
55,51,100,82
84,73,53,114
78,84,62,100
56,35,94,103
82,104,25,77
86,115,97,98
103,40,107,74
74,106,21,87
101,97,114,84
77,77,116,54
109,76,73,30
84,77,114,49
85,55,48,100
131,75,52,66
102,85,46,91
102,64,74,84
76,70,121,57
83,48,86,107
97,75,78,110
58,55,108,31
70,102,53,63
103,62,118,77
79,108,102,35
100,118,73,33
83,55,122,100
82,130,92,56
100,84,96,80
106,31,58,21
114,81,64,65
86,53,45,104
42,108,93,45
77,100,56,91
108,71,46,99
105,22,68,57
61,92,103,32
41,105,61,45
84,61,40,103
90,65,66,103
26,35,101,90
84,69,85,122
49,69,29,105
113,11,104,60
36,100,101,51
64,90,90,116
102,55,66,65
48,101,42,61
85,94,68,113
44,100,85,95
38,49,53,112
98,63,84,115
85,22,96,121
105,88,90,77
70,96,45,113
59,11,102,44
52,74,103,59
50,104,72,62
84,82,103,91
107,56,95,66
