Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_HeartFeatureAI
81,89,83,107
56,93,71,104
41,41,112,22
111,101,72,40
92,39,78,115
70,98,114,42
109,69,73,109
113,48,32,95
81,106,76,61
75,100,47,30
69,57,103,23
111,70,99,80
62,106,109,83
56,120,82,66
95,101,109,91
89,128,44,63
20,37,22,101
86,81,100,57
85,82,129,100
65,103,85,71
78,77,124,45
73,46,100,69
106,86,78,54
48,71,106,63
21,27,60,108
73,66,112,37
103,89,75,57
87,67,103,67
43,25,106,6
81,130,89,60
103,27,50,36
74,53,102,95
111,95,114,40
116,79,68,61
19,53,30,114
21,52,104,39
22,100,47,83
87,37,92,108
126,27,17,46
59,51,90,124
42,52,109,85
65,103,114,42
98,120,80,98
80,75,55,114
101,66,32,53
120,67,61,40
13,19,38,110
87,104,84,13
117,65,76,66
103,56,87,78
66,122,90,10
100,75,24,53
46,107,33,30
26,26,25,103
65,115,55,89
110,74,43,61
123,79,97,97
70,69,111,74
41,8,29,102
58,96,68,102
54,75,100,59
50,78,117,79
99,73,107,45
86,47,122,69
81,90,100,89
69,74,78,103
74,100,6,108
26,128,14,12
85,70,31,102
43,47,112,86
62,15,101,38
120,37,83,84
124,71,95,70
91,117,72,80
107,49,76,56
105,52,37,58
101,27,53,71
54,101,80,53
30,20,59,107
112,20,77,43
23,76,47,106
101,47,58,82
59,69,60,100
87,116,77,80
103,124,88,81
108,44,31,69
31,110,118,101
62,39,86,101
30,21,90,111
71,34,31,116
105,85,38,96
101,63,111,85
46,55,20,131
108,12,98,34
113,34,26,7
83,102,70,105
106,71,76,107
105,71,89,95
117,20,64,87
48,109,71,96
49,69,102,68
58,59,113,58
104,10,81,93
108,67,56,93
65,75,117,67
105,87,57,111
61,66,85,112
118,56,85,65
61,50,66,111
109,76,74,101
84,58,58,124
76,86,106,20
85,127,83,65
47,119,67,91
71,39,119,95
84,78,117,45
57,56,38,101
76,14,110,52
22,115,82,33
44,107,71,66
94,49,110,35
39,118,52,43
28,5,101,46
83,82,48,111
96,60,106,62
86,106,53,79
48,76,113,87
95,100,84,81
21,41,115,75
66,108,114,72
63,44,107,110
40,114,6,56
74,63,80,107
40,94,35,119
91,27,66,104
53,16,101,46
109,48,90,77
97,84,77,102
87,77,100,96
45,103,79,97
80,86,123,71
63,91,97,109
75,92,87,106
61,32,55,104
105,91,82,82
65,52,107,28
50,68,102,32
105,55,24,68
84,51,101,52
94,86,71,109
68,69,79,108
108,61,70,85
31,50,105,102
83,73,57,111
61,85,74,104
115,52,6,7
65,63,121,75
109,89,83,79
100,95,47,46
76,90,57,101
57,74,102,91
66,69,100,53
98,22,54,114
44,38,102,32
58,100,71,59
100,51,96,113
50,115,101,22
70,26,44,112
104,104,54,98
66,78,78,102
60,104,66,94
67,56,80,121
29,45,104,74
76,112,57,79
108,41,55,84
100,79,73,36
32,116,70,70
72,100,46,70
84,74,103,63
103,58,99,28
45,34,108,29
104,95,98,99
55,103,43,87
32,58,114,48
45,50,109,84
52,106,65,65
28,61,101,62
79,104,49,92
100,82,87,55
108,102,82,32
84,58,40,106
103,52,76,93
19,98,27,108
80,34,105,69
93,85,106,40
128,63,34,99
108,55,99,98
77,51,107,17
90,90,106,110
89,59,74,102
70,125,76,53
48,37,110,57
60,110,70,12
117,72,78,93
117,56,78,37
94,95,66,105
19,124,22,51
105,45,91,83
118,63,32,75
102,53,105,100
113,42,92,77
43,38,100,35
35,89,114,50
99,70,102,89
83,59,41,105
52,123,62,15
86,99,106,105
129,40,121,70
111,35,40,102
81,40,67,100
46,91,60,127
36,42,111,99
13,102,18,47
32,97,102,57
80,78,39,127
105,94,33,56
108,76,49,91
82,86,53,103
102,45,95,82
99,83,36,106
75,56,100,21
73,127,45,7
112,101,85,62
68,122,44,90
46,31,102,73
72,52,98,102
102,62,83,77
102,72,95,55
105,51,98,34
101,62,28,25
22,101,91,110
33,39,44,100
111,75,50,52
91,104,29,28
57,112,45,74
104,53,19,112
65,55,103,29
71,58,83,112
83,105,48,88
47,89,109,79
63,100,63,98
44,73,107,64
91,101,77,19
59,103,89,73
65,86,88,121
114,60,74,76
106,18,31,25
94,101,101,64
127,14,64,83
111,34,97,46
88,106,24,70
22,57,108,65
104,94,99,99
54,84,103,47
112,76,59,77
34,31,25,126
110,96,101,89
110,71,57,50
97,62,84,117
116,83,55,70
53,69,28,102
89,94,101,112
73,43,104,68
100,92,83,85
50,127,48,63
81,69,34,104
85,63,76,100
78,113,56,77
109,78,37,64
59,70,101,58
58,123,33,74
45,97,38,108
105,103,36,44
114,44,23,71
28,103,22,63
100,107,68,85
88,54,105,77
100,95,90,75
38,115,51,12
17,78,101,56
89,103,93,75
86,61,60,117
98,35,83,108
85,116,38,85
50,86,82,106
101,68,53,66
6,115,54,41
39,37,113,27
112,55,64,93
18,36,104,58
112,25,53,26
68,51,106,27
84,75,106,59
113,90,122,107
22,77,105,84
35,116,108,65
18,41,103,54
27,104,53,32
100,52,61,75
56,67,49,116
110,66,66,82
88,65,70,101
46,71,100,71
55,37,102,58
127,49,94,90
101,71,15,101
49,79,105,19
118,96,56,54
64,22,105,61
103,39,76,70
90,100,91,43
52,71,56,109
50,13,106,47
105,68,72,79
52,110,85,113
37,59,124,104
36,107,77,104
102,106,44,36
101,63,61,63
59,104,119,78
97,52,107,104
36,67,104,45
77,68,40,103
104,99,73,12
95,27,96,106
77,102,92,89
71,21,104,92
25,124,16,15
103,79,112,102
70,55,47,116
78,101,100,81
120,59,54,55
101,55,71,61
36,39,104,37
48,115,78,47
95,38,84,107
91,108,56,33
68,9,51,124
55,68,114,15
64,102,43,115
44,74,22,112
93,105,41,49
67,121,87,13
59,111,63,91
129,63,66,66
66,14,105,31
82,62,60,120
12,27,100,5
82,106,67,105
65,123,65,35
106,67,59,56
64,62,42,120
40,60,62,126
101,39,80,32
88,101,95,76
22,32,26,100
63,69,106,86
82,105,90,47
42,30,129,51
105,71,28,84
89,104,75,92
62,89,101,36
72,85,115,52
112,46,64,30
27,25,50,114
112,67,68,41
29,109,50,64
58,71,48,111
102,67,21,98
25,31,41,119
85,109,63,67
94,76,39,115
94,115,68,47
53,104,95,72
111,39,93,45
113,61,24,90
105,33,44,34
100,94,57,37
23,79,30,120
105,96,58,65
113,71,66,74
83,68,63,110
74,83,101,66
104,24,65,59
62,33,64,129
50,100,51,87
71,59,101,93
26,13,111,30
113,113,96,38
104,72,80,68
46,91,79,108
48,40,50,114
69,44,59,116
95,60,114,19
59,90,100,75
17,46,33,120
101,76,70,41
88,100,49,123
101,68,6,5
32,30,52,102
28,53,88,119
40,31,79,102
118,67,112,63
60,116,57,19
113,66,60,85
77,110,54,83
89,129,98,80
25,59,89,115
84,63,106,35
67,102,65,54
68,92,51,113
44,54,69,121
98,111,33,82
78,115,88,115
82,96,119,63
49,56,66,117
121,91,93,55
54,81,49,104
63,40,84,101
58,29,101,64
109,53,69,93
56,104,86,78
103,134,82,77
40,116,31,29
76,68,101,79
92,100,64,68
56,61,117,54
87,42,110,49
58,27,52,115
108,61,40,115
55,111,73,121
60,90,102,36
56,44,85,103
80,75,64,105
66,101,84,109
10,68,102,36
80,37,102,69
68,133,83,76
102,70,94,94
48,47,103,54
75,110,51,88
99,107,66,124
99,48,101,76
99,106,24,95
83,52,69,120
8,106,48,90
70,31,108,79
60,89,75,100
118,32,64,74
77,83,59,105
24,89,45,130
53,108,106,93
78,73,95,114
103,61,102,94
67,88,101,68
109,32,36,75
83,51,89,101
74,110,80,60
60,92,56,116
104,34,88,62
101,50,60,77
68,41,109,34
53,74,101,60
65,100,45,42
0,57,102,57
65,57,100,102
41,17,86,108
115,46,27,64
66,108,36,78
82,113,54,75
63,37,116,72
47,23,40,106
104,31,9,36
111,39,68,70
101,117,68,38
100,46,89,89
32,90,61,105
100,23,68,25
40,103,57,52
63,125,61,75
78,54,100,92
14,18,100,84
