Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_HeartFeatureAI
23,27,22,108
109,75,84,56
117,67,74,30
60,110,78,76
47,67,109,101
108,41,61,42
32,97,116,79
71,98,101,90
13,12,50,105
69,50,97,108
104,54,85,45
22,99,21,110
116,61,29,46
113,99,65,83
25,104,51,108
109,99,77,39
122,103,42,21
91,40,105,88
61,47,100,80
20,54,90,124
104,60,54,106
60,101,37,54
65,91,102,66
67,58,104,59
120,65,131,80
103,56,59,106
78,108,38,64
101,19,20,76
74,86,80,120
37,105,95,51
61,32,111,84
102,48,86,88
109,92,79,80
50,100,32,34
83,89,84,104
62,33,35,122
26,66,48,112
61,11,69,111
120,58,85,25
89,32,93,110
46,74,62,106
105,87,46,14
84,101,77,62
58,80,50,100
65,104,91,64
50,58,20,124
77,55,53,103
103,39,56,90
23,45,70,114
39,104,39,106
20,73,17,106
99,67,120,38
104,54,69,25
105,43,14,90
34,47,111,96
59,94,97,110
104,88,101,103
101,65,52,34
81,119,102,94
40,79,66,103
100,87,97,112
75,55,46,112
124,66,82,16
46,102,75,101
67,101,35,49
41,25,41,109
76,84,105,59
101,64,45,78
14,110,48,44
42,80,62,104
86,22,36,108
68,27,88,105
58,112,93,97
113,71,77,99
92,106,66,96
74,63,49,102
39,103,27,47
81,108,92,115
101,38,20,57
82,51,41,114
64,74,103,119
43,50,58,101
68,31,111,78
50,3,71,128
106,94,49,75
65,32,74,117
85,41,55,107
55,58,103,36
47,127,95,91
34,12,19,115
107,85,63,69
59,83,111,35
62,60,62,104
76,58,28,126
15,111,15,39
76,99,118,103
32,77,62,117
95,79,111,75
65,88,88,119
105,99,45,111
58,53,108,69
109,92,68,91
57,65,27,103
47,84,13,108
106,73,61,84
100,102,58,100
67,77,74,106
44,115,43,50
93,41,84,106
82,112,17,77
98,104,63,95
101,73,63,51
79,82,87,112
89,102,95,74
47,114,82,45
32,12,64,108
57,73,35,123
96,68,38,122
119,64,68,73
59,23,66,104
94,107,14,73
61,92,86,121
30,45,30,111
68,130,100,62
58,88,69,109
71,100,35,118
48,28,107,69
93,37,68,126
74,72,71,107
55,62,54,117
67,38,106,77
51,101,16,48
70,46,72,100
39,57,104,88
30,68,45,109
117,58,63,86
88,89,113,70
100,30,48,74
104,96,68,92
37,102,107,42
67,63,106,88
49,31,36,100
76,104,69,111
72,99,111,78
58,122,98,10
13,39,55,109
37,62,85,104
80,47,100,97
22,104,72,90
48,53,79,108
50,107,37,22
88,83,103,86
118,78,32,60
52,102,44,54
69,53,44,122
80,33,73,102
19,69,41,123
53,21,99,115
128,129,81,130
59,101,50,78
33,108,34,41
20,30,49,117
66,64,53,105
75,100,52,25
58,79,69,118
54,37,20,105
42,92,50,104
13,22,29,116
48,105,67,32
32,53,25,106
102,93,32,61
40,76,63,109
69,100,75,80
61,61,109,93
58,61,67,102
116,63,60,49
62,72,102,52
22,76,69,121
49,70,74,131
21,55,38,102
102,89,66,103
51,73,90,110
54,38,52,108
111,70,98,117
109,39,86,90
62,96,100,66
100,66,36,122
50,88,100,86
102,105,74,43
49,42,89,108
43,96,119,66
37,12,29,102
124,68,44,88
37,107,52,92
78,59,46,105
54,16,0,110
51,38,105,94
58,103,61,66
76,102,80,66
104,48,61,111
34,45,21,116
97,73,71,119
59,44,81,104
50,55,83,100
75,86,102,61
97,88,110,65
109,33,9,29
83,39,44,122
30,38,105,43
107,40,90,51
52,26,88,122
30,52,101,33
28,44,39,105
25,103,62,62
82,110,68,64
85,115,50,74
67,104,83,106
47,20,103,82
52,101,77,94
120,76,29,63
32,126,22,36
101,58,91,110
38,24,43,111
107,74,52,91
70,65,51,102
33,82,96,113
83,70,78,129
76,37,64,111
31,27,102,56
109,61,49,105
46,14,10,110
62,37,41,112
74,45,25,108
89,76,16,107
24,13,3,104
84,80,54,106
111,72,61,116
29,21,106,60
28,56,85,119
106,33,82,31
106,29,43,74
