Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_VoidFeatureAI
55,79,84,106
45,116,84,79
69,31,4,112
62,70,82,110
110,60,33,49
44,63,65,116
97,64,59,104
100,58,60,70
122,116,96,98
42,85,107,90
84,101,41,62
39,13,20,108
76,47,64,101
72,44,58,114
107,100,70,83
60,56,58,114
82,56,111,39
33,58,19,106
67,58,22,105
90,102,83,85
92,89,50,129
106,32,97,89
8,83,51,110
102,91,95,72
59,103,79,47
103,47,81,57
84,86,103,87
50,50,36,116
86,19,59,124
39,104,56,89
45,73,48,122
63,24,53,112
98,56,23,111
107,77,98,114
39,58,55,100
41,76,46,125
101,70,118,71
47,86,78,113
57,113,73,81
40,72,124,124
57,101,79,87
109,37,17,89
87,108,67,62
85,57,74,108
66,78,77,103
117,63,29,79
76,96,118,34
83,79,61,101
73,55,43,117
55,107,58,68
100,57,91,76
55,119,78,72
62,56,66,104
87,77,108,88
66,28,11,111
70,61,109,84
68,32,40,112
49,32,56,115
42,54,82,110
101,59,107,57
110,95,48,107
91,88,116,101
105,120,58,77
94,46,117,103
42,88,54,104
88,38,61,101
69,101,51,67
112,36,54,86
56,17,33,110
90,121,67,82
82,59,43,104
103,45,84,56
63,77,79,105
101,82,54,87
28,32,15,105
88,6,17,105
91,108,77,84
64,84,4,100
21,41,85,105
101,87,74,98
61,9,44,102
106,69,53,60
32,105,94,57
57,132,25,110
130,134,53,115
94,82,102,10
49,56,25,122
37,21,19,103
90,36,48,114
88,108,44,48
38,52,95,103
64,101,58,65
79,74,32,103
55,16,27,118
13,11,124,32
119,30,8,59
21,71,81,115
73,67,103,81
107,53,63,65
74,48,30,100
85,48,104,87
100,32,78,78
51,122,59,92
63,90,66,105
84,77,87,112
28,33,15,104
80,72,70,102
111,87,99,99
46,40,101,101
103,63,57,65
103,72,79,106
73,37,72,106
37,36,106,73
52,36,52,112
57,33,21,105
39,30,82,101
63,102,42,81
101,67,17,103
83,110,94,73
62,55,68,103
117,66,106,71
52,82,111,79
63,97,102,98
101,58,43,50
39,6,26,109
82,92,49,101
117,117,82,44
35,35,20,126
70,19,62,101
91,62,110,61
85,102,43,58
38,76,99,111
72,76,70,106
71,44,73,100
120,69,78,93
26,32,22,100
62,103,57,66
94,29,87,114
85,54,58,127
99,82,112,103
44,20,35,117
32,59,76,121
57,48,117,30
100,82,37,69
126,91,121,130
18,19,31,112
69,92,104,59
14,46,110,10
26,75,71,116
66,37,103,46
97,64,13,114
81,108,98,37
11,72,28,105
73,49,39,127
59,60,65,104
58,123,106,109
48,51,14,103
50,67,33,102
71,64,101,88
112,60,70,46
62,29,59,102
96,106,32,90
65,74,81,104
47,39,29,101
48,35,108,61
85,103,74,26
36,82,27,107
84,34,61,109
108,75,76,65
58,93,59,114
72,51,100,65
27,63,24,102
63,4,44,105
45,103,66,74
72,69,105,114
58,51,121,58
65,106,62,91
98,50,56,120
39,47,109,93
85,76,59,104
55,48,69,116
104,90,72,58
68,98,91,103
67,100,57,28
90,82,45,107
74,96,88,102
80,88,76,116
56,123,110,71
105,58,11,78
89,78,114,79
98,101,72,89
74,120,68,98
36,37,63,116
63,63,112,86
42,31,32,111
62,94,101,103
63,81,69,111
107,63,48,34
34,46,71,101
70,44,26,112
44,4,60,108
57,66,94,107
90,112,60,62
41,42,104,65
17,57,38,104
72,61,99,128
101,53,63,35
99,82,90,125
108,95,85,72
64,51,32,105
15,105,51,81
43,22,50,101
103,87,110,96
87,63,102,72
45,71,66,106
41,63,115,69
42,123,62,97
72,127,65,96
46,52,54,100
42,40,66,104
23,52,108,69
64,40,104,80
63,63,79,119
81,111,66,66
52,88,100,84
74,105,54,19
66,41,106,39
55,33,26,102
15,41,109,87
42,53,75,118
67,38,56,127
112,96,73,79
82,114,49,79
105,80,63,76
97,62,96,105
67,57,102,98
48,107,16,81
21,75,42,114
65,105,64,54
68,96,60,100
54,77,43,114
111,16,33,56
34,74,80,100
13,44,20,103
129,118,72,113
21,33,48,114
54,20,57,121
93,41,78,112
83,66,97,114
76,59,38,115
43,103,68,74
102,91,40,91
55,46,94,129
46,56,67,119
80,10,85,113
72,74,102,76
92,101,97,34
27,123,75,99
38,101,58,91
29,60,40,123
108,94,80,78
84,38,49,117
28,56,100,104
79,105,64,112
47,63,76,102
104,27,85,108
104,69,51,64
51,79,68,126
72,108,90,90
67,112,49,96
81,16,47,108
67,108,59,54
115,26,84,99
23,39,102,88
82,94,91,129
46,104,43,23
49,110,87,78
101,74,93,20
79,18,87,104
0,37,40,103
104,60,80,80
108,62,87,103
33,41,54,124
56,84,67,117
32,11,36,101
68,79,38,103
60,67,90,107
63,61,51,113
34,6,29,111
67,65,40,116
85,98,100,77
51,46,66,125
75,23,100,90
98,47,51,128
70,80,109,101
104,104,60,56
100,58,46,48
13,31,16,120
104,82,58,80
60,49,6,101
104,69,43,72
45,59,69,115
