Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_HeartFeatureAI
103,100,90,103
109,67,84,28
49,101,119,55
69,96,100,59
101,88,55,44
59,34,109,14
109,98,50,67
86,91,102,81
35,101,40,76
119,36,41,56
102,28,71,15
68,76,108,108
70,105,89,24
100,44,48,60
102,61,44,81
65,102,83,110
91,120,65,48
55,101,34,26
56,41,100,55
103,62,89,34
58,53,111,66
102,83,62,77
50,106,88,80
57,103,76,88
82,68,38,100
84,51,109,80
36,112,64,40
98,53,104,69
72,58,104,54
117,66,84,57
36,104,7,33
100,9,14,21
75,87,101,61
15,9,112,44
45,50,100,57
101,79,98,46
121,44,12,39
49,69,94,112
92,100,45,51
74,113,103,70
41,100,83,64
69,131,24,100
107,89,55,73
37,58,89,104
72,105,111,36
73,49,107,95
81,33,102,72
116,73,71,28
108,104,43,33
56,56,83,129
51,113,72,88
119,71,30,68
108,35,84,61
88,99,115,58
33,78,76,101
104,105,67,84
71,103,102,48
50,119,43,40
111,70,73,106
59,106,45,78
70,59,111,12
56,62,64,106
110,46,78,90
101,98,56,69
47,74,102,101
61,50,62,115
64,104,114,42
46,69,102,107
44,56,119,105
44,118,100,62
88,94,134,116
79,120,60,101
98,26,97,103
31,109,51,25
103,92,106,59
44,108,65,35
44,84,84,112
59,105,113,11
50,121,79,38
58,43,113,38
107,57,21,31
109,84,48,83
103,67,28,54
90,108,99,99
97,81,79,103
110,86,77,15
104,64,62,22
91,92,65,112
65,78,108,37
114,47,41,50
104,78,89,89
21,74,105,52
69,111,28,80
49,101,37,65
104,112,63,45
85,62,107,70
109,60,65,90
88,107,64,65
45,124,66,89
79,49,115,81
64,106,74,80
59,42,100,87
48,62,102,4
85,87,101,51
100,78,100,82
70,82,107,101
93,88,100,79
81,49,97,133
106,65,104,49
113,28,47,64
96,61,57,110
59,73,69,123
41,82,101,64
83,89,100,52
43,73,29,107
63,35,115,39
104,70,49,65
46,107,71,100
47,102,82,57
22,102,34,22
74,91,37,122
68,43,77,100
100,95,73,56
41,78,108,97
105,21,76,50
74,67,69,114
84,83,100,57
21,76,116,39
86,72,126,112
67,106,52,63
29,34,50,103
87,104,33,28
75,102,87,24
39,108,95,46
106,61,72,85
54,113,83,74
110,7,43,56
95,123,37,33
84,104,87,49
44,107,62,75
67,79,100,78
20,67,28,101
109,67,37,75
18,104,45,13
55,107,118,80
65,61,55,107
118,93,88,25
61,103,57,67
27,17,101,71
20,103,58,71
64,104,36,48
72,114,76,62
97,80,108,39
103,65,99,21
55,83,105,45
60,80,45,103
59,111,82,36
60,117,65,46
105,77,103,39
115,86,79,80
107,105,106,78
125,79,79,41
81,113,105,61
47,102,18,49
64,101,92,31
108,60,65,91
104,55,57,36
25,66,92,105
114,74,49,51
55,108,61,100
53,111,36,88
72,105,61,86
72,63,52,101
94,106,85,39
130,23,83,88
63,23,112,54
42,42,120,48
93,87,67,113
44,27,102,43
58,101,63,102
109,33,36,74
74,113,78,95
102,111,43,68
105,57,53,37
120,65,83,56
113,73,63,75
69,112,96,47
57,72,86,109
39,84,106,95
57,118,45,68
101,81,72,70
108,74,36,34
101,95,67,25
84,53,112,75
86,53,39,110
64,100,70,90
51,103,76,58
102,66,86,106
81,23,78,106
96,46,103,79
48,58,123,59
126,74,83,41
47,105,79,21
103,28,70,51
73,118,79,54
115,67,67,75
104,56,74,90
100,36,24,20
9,22,11,102
68,59,106,55
83,20,105,44
100,84,79,61
114,23,72,79
79,92,107,46
47,106,73,62
102,78,40,32
62,36,102,88
87,74,111,88
113,52,79,80
96,79,80,105
79,69,105,107
78,55,105,50
100,74,65,49
33,111,0,72
35,63,50,104
99,83,109,69
95,112,32,49
38,100,46,104
113,85,50,112
64,116,9,99
92,108,54,70
86,77,113,84
107,59,29,21
43,105,55,13
59,59,22,112
103,84,42,95
24,72,50,106
56,108,65,23
103,42,13,22
82,101,79,98
73,107,74,70
59,65,108,56
108,93,103,56
107,91,74,52
33,111,50,58
42,40,104,30
33,105,59,55
66,42,40,104
67,51,111,95
74,101,68,9
39,65,44,104
109,80,34,65
90,77,102,127
75,113,37,99
108,100,94,94
59,87,100,42
47,112,35,94
106,66,20,96
42,83,112,51
115,58,46,69
59,94,54,117
72,96,119,37
112,104,91,53
93,74,85,108
33,100,86,33
85,74,103,62
52,71,55,110
90,102,53,43
93,102,98,31
47,117,42,46
109,24,62,57
42,103,13,22
90,102,78,90
73,25,113,41
36,48,113,55
93,58,102,71
114,39,48,51
66,55,100,103
60,102,107,55
56,72,104,56
59,101,66,62
53,49,45,105
67,118,98,77
99,58,51,116
48,100,64,76
75,106,55,16
51,65,106,30
100,25,39,16
51,107,26,68
20,96,113,23
62,49,100,41
95,62,86,117
64,103,101,56
69,110,75,70
40,111,77,24
73,70,118,63
71,107,55,55
123,64,83,54
98,103,57,66
33,87,105,99
66,67,101,90
106,88,63,31
92,115,41,40
62,39,78,109
99,98,109,90
73,67,100,48
42,104,71,71
82,107,63,108
102,49,40,25
107,78,30,73
103,81,87,89
105,67,22,94
51,29,104,68
44,34,106,68
66,16,67,103
44,102,29,77
72,103,91,22
87,75,101,61
104,92,83,45
100,110,95,55
110,52,26,64
78,104,56,86
74,70,36,108
84,57,51,132
117,71,96,40
27,100,17,72
80,108,69,67
38,72,102,40
82,72,30,104
48,84,121,107
111,88,55,34
59,90,67,108
78,37,112,97
55,39,110,84
100,71,18,63
92,63,104,29
65,91,105,63
81,101,20,50
69,48,126,81
82,104,54,48
110,99,41,74
115,55,68,86
113,41,13,49
97,95,68,100
111,60,78,75
111,92,104,53
55,25,104,32
57,101,41,53
102,84,59,79
106,95,100,59
73,49,63,103
62,74,52,100
98,35,105,86
101,74,31,46
81,79,104,24
53,71,105,23
111,110,126,49
31,24,110,51
0,63,108,81
104,77,71,72
82,48,88,106
73,96,38,117
100,47,41,28
116,58,60,90
23,35,105,53
111,92,65,92
112,43,41,56
47,68,104,69
99,33,107,49
101,37,25,17
102,8,94,84
94,87,101,42
84,92,42,106
85,68,102,105
59,123,79,27
89,85,77,109
58,51,103,40
81,90,117,72
109,81,49,85
63,46,42,101
87,112,101,60
75,68,120,25
35,73,33,111
72,64,15,101
38,82,122,82
90,53,119,98
85,71,107,61
129,39,84,72
78,71,19,120
104,63,48,37
107,89,61,103
43,72,62,111
101,76,49,62
87,118,23,24
93,100,70,61
52,114,75,83
86,129,81,100
32,57,108,55
101,56,54,41
28,72,40,112
102,101,78,79
35,34,42,105
33,52,102,65
60,116,79,69
6,41,51,118
53,21,65,113
21,47,108,40
99,105,83,37
86,102,73,63
38,30,78,106
77,40,35,100
100,73,46,33
107,49,81,87
58,103,23,32
96,52,33,107
86,107,62,69
117,92,22,93
79,36,114,59
107,32,54,59
103,65,91,65
100,17,37,62
101,29,19,31
103,48,35,30
107,67,78,72
103,28,97,96
122,84,10,72
61,22,100,69
89,100,57,78
104,71,58,55
100,43,83,62
49,57,104,78
62,63,74,125
52,86,100,50
96,85,112,103
78,89,115,42
60,46,119,27
91,41,109,47
79,38,106,101
59,115,57,57
66,129,66,99
110,93,63,58
105,73,45,65
79,105,30,74
92,109,61,98
87,102,69,66
51,55,103,43
104,72,75,73
35,41,73,103
117,55,31,49
64,66,15,107
80,49,58,101
72,106,88,58
21,100,42,53
103,87,99,107
23,101,37,55
110,22,69,15
90,59,41,134
63,98,57,106
86,57,109,108
80,101,96,47
81,72,65,106
74,125,38,51
126,27,95,76
101,87,111,133
114,104,48,94
87,29,115,57
80,18,106,84
101,73,84,66
109,44,83,52
61,90,101,72
117,22,67,10
96,98,116,86
45,45,104,22
78,17,34,123
96,45,67,116
118,83,97,26
102,28,37,49
92,118,72,78
25,108,31,16
54,84,35,115
96,94,70,100
93,77,108,82
75,32,108,37
116,75,81,88
52,73,56,107
106,22,75,85
95,57,112,96
104,47,60,77
82,100,85,21
91,101,63,69
97,104,65,58
75,107,96,82
66,115,68,75
101,44,79,100
45,49,94,100
99,12,76,101
74,100,85,101
107,48,22,39
125,81,67,51
92,104,0,56
72,107,67,114
83,42,62,101
73,79,114,58
74,102,31,45
97,53,116,94
116,73,61,38
108,36,46,62
43,39,102,104
110,74,13,91
63,89,69,103
109,85,44,50
89,102,78,91
36,31,82,103
98,54,65,107
74,50,105,59
107,25,24,24
84,73,58,109
62,78,105,43
19,101,86,82
53,106,110,91
26,74,112,40
66,58,106,94
102,101,71,86
108,21,95,64
61,87,110,66
49,40,100,63
77,110,83,54
93,106,63,26
88,97,100,75
113,11,89,111
55,95,100,74
59,94,105,66
105,98,87,70
79,41,111,93
103,23,26,28
89,103,80,52
60,103,67,94
93,109,103,91
102,24,64,26
102,54,55,77
100,31,75,46
101,59,79,85
91,39,114,80
34,37,101,80
110,58,87,69
102,41,63,10
66,28,91,103
79,39,100,106
79,113,57,39
87,72,119,82
46,80,111,87
28,81,103,76
100,110,79,107
102,58,61,67
81,115,89,75
102,75,43,104
69,112,73,70
54,76,103,91
54,114,20,64
117,16,100,91
23,16,106,35
18,96,36,102
111,68,120,61
41,31,109,71
63,112,47,66
81,72,115,92
103,35,21,57
103,66,68,87
88,53,105,78
100,54,39,95
50,20,124,58
85,101,45,57
108,108,48,60
48,109,14,45
31,114,95,84
62,95,100,31
67,78,100,79
84,52,120,32
72,114,83,55
44,88,106,86
49,108,55,40
16,66,102,68
96,50,107,71
103,57,118,82
100,55,89,8
128,90,59,83
99,131,69,97
16,23,101,40
54,116,79,75
50,106,102,66
115,98,107,40
108,93,6,45
83,56,101,84
124,46,84,70
70,115,70,33
107,33,50,62
71,68,104,45
40,16,111,49
46,23,109,74
7,118,34,57
63,104,43,78
91,68,91,110
100,25,35,20
104,44,68,36
87,92,89,128
103,54,79,88
77,101,59,51
97,65,75,123
72,67,102,47
45,109,91,43
102,98,80,80
93,59,107,65
56,99,54,115
110,86,115,49
35,52,65,100
59,110,106,85
23,111,95,95
55,18,100,79
110,97,74,79
109,39,73,103
81,111,57,75
59,103,32,94
90,113,73,84
102,29,38,47
70,36,46,100
70,46,109,27
100,48,92,48
73,101,101,85
88,100,24,40
101,81,23,47
17,113,44,42
84,114,37,53
70,123,43,52
81,83,90,106
97,111,93,59
102,46,21,47
33,94,95,102
89,57,102,76
83,36,104,65
43,32,32,109
98,47,101,78
48,58,102,44
101,96,74,89
19,44,56,133
102,39,78,105
112,54,86,36
120,70,59,75
111,63,52,26
48,101,92,83
23,111,68,86
69,32,117,34
78,105,60,45
132,68,84,40
110,96,83,71
79,67,124,54
52,43,1,120
45,89,103,51
104,76,94,50
44,86,101,93
36,53,106,93
63,105,65,91
101,96,49,78
109,29,90,96
64,106,109,81
102,93,42,87
117,42,84,81
98,78,102,82
71,89,98,102
100,71,72,45
28,112,59,53
54,107,39,52
104,38,96,86
101,74,18,23
119,37,95,37
69,46,112,97
71,112,57,48
103,75,94,88
