Player1,Player2,Player3,Player4
Smart_HeartFeatureAI,Smart_HeartFeatureAI,Smart_HeartFeatureAI,Smart_VoidFeatureAI
56,52,73,107
49,109,82,48
77,0,72,103
78,119,55,36
90,36,88,110
79,55,119,71
54,101,56,41
128,34,55,35
113,77,79,55
65,112,78,33
73,105,86,96
35,95,86,108
96,66,110,52
116,52,65,19
69,21,122,40
30,100,54,68
68,93,123,76
70,50,53,115
112,60,95,93
91,91,110,68
82,97,79,102
106,80,94,80
133,84,109,70
111,49,39,89
58,106,78,82
73,71,74,106
104,68,62,90
105,44,91,84
23,7,117,33
54,118,56,60
76,105,68,111
47,101,70,70
112,23,31,14
75,92,110,83
51,23,17,125
56,83,101,120
103,99,55,67
22,83,83,100
107,72,62,47
102,75,67,44
26,0,109,45
53,106,70,95
104,89,46,85
97,78,125,60
114,26,87,61
102,59,98,101
75,108,87,54
20,28,102,30
28,123,26,3
98,70,113,79
43,115,64,66
119,65,75,65
39,63,41,109
35,117,72,64
91,51,106,40
35,101,56,60
76,106,79,99
77,102,106,39
85,105,30,68
89,102,94,75
94,57,100,109
4,104,48,60
47,47,101,93
116,45,118,81
54,109,79,82
10,106,65,71
50,108,44,86
103,70,50,65
103,53,61,71
42,59,118,33
55,101,111,21
116,93,57,58
23,46,47,100
89,105,78,88
129,29,51,43
10,19,38,113
81,102,56,13
68,103,102,87
72,27,43,110
84,100,73,67
48,71,107,26
112,118,73,129
78,104,98,116
100,57,49,82
84,54,107,79
87,15,113,109
108,66,76,74
61,106,38,83
22,103,57,34
108,34,80,30
42,91,112,79
20,73,69,126
66,84,100,74
121,69,73,97
106,75,38,69
104,31,17,28
62,100,93,105
87,118,36,47
102,87,80,55
71,77,89,123
98,102,74,86
66,45,118,59
59,100,58,71
44,41,96,107
68,32,106,82
72,123,58,35
9,10,105,20
119,74,20,39
120,106,98,36
33,101,72,46
58,101,70,59
82,111,47,84
100,89,66,33
118,81,63,62
38,103,84,63
64,85,129,82
107,100,91,98
62,107,33,50
73,105,73,37
36,54,120,42
71,36,77,104
64,42,101,45
124,77,77,82
125,85,83,67
18,31,116,51
45,65,76,102
24,109,64,91
85,41,90,108
102,94,70,58
50,63,117,22
102,91,13,46
60,50,110,68
37,125,46,44
106,121,74,95
47,56,48,101
71,88,111,54
89,125,81,65
88,51,108,77
48,110,34,60
12,23,102,43
34,57,50,111
37,4,37,102
105,110,56,53
89,102,91,78
70,100,67,51
92,103,99,66
85,92,110,73
85,86,116,73
111,56,77,44
53,12,123,64
68,106,127,95
60,77,102,121
83,56,31,118
106,85,52,45
36,100,28,16
95,105,48,112
9,128,64,51
50,53,49,100
120,76,130,70
82,114,132,104
35,105,76,72
86,92,111,107
56,101,46,49
96,72,121,71
14,46,103,17
57,54,104,73
58,98,124,80
14,47,100,55
44,102,79,27
91,38,121,74
110,44,22,40
14,115,71,16
25,50,71,106
106,49,69,64
81,72,119,52
102,71,41,38
92,72,108,88
17,32,47,120
45,107,71,65
58,102,92,72
94,80,100,86
108,79,95,42
43,102,67,76
54,93,101,112
84,44,54,106
100,42,8,66
82,65,40,101
25,110,90,63
105,94,25,64
102,39,54,57
56,82,41,109
106,57,68,93
56,101,72,23
66,58,110,54
71,65,118,34
117,116,81,82
55,56,66,111
106,68,57,21
38,75,101,110
73,25,116,74
93,117,75,75
50,66,70,102
74,31,112,71
16,113,26,61
75,115,41,93
95,59,109,97
43,27,108,38
90,117,106,83
84,51,88,101
111,60,53,64
49,103,4,24
114,53,77,80
35,107,39,71
81,108,7,56
97,44,113,106
84,111,83,10
93,59,104,68
61,86,41,100
57,58,95,114
65,115,59,49
63,28,104,57
45,109,67,31
43,21,83,105
93,114,32,85
20,70,103,59
55,120,57,56
50,115,61,62
66,108,34,116
86,39,20,107
59,25,103,101
69,41,69,109
13,50,108,45
90,92,100,114
17,62,85,124
108,103,87,62
64,110,62,88
53,39,92,104
77,102,61,84
36,96,55,101
61,132,85,118
56,25,115,56
63,118,105,110
48,53,81,106
102,52,60,74
90,83,125,98
55,110,72,87
34,81,23,114
112,83,102,63
50,37,89,112
31,104,57,96
71,107,62,84
29,76,81,102
106,19,68,95
41,73,112,98
67,103,47,71
90,123,66,81
113,72,99,76
32,75,101,80
14,101,104,105
107,73,11,61
61,89,101,109
24,80,70,114
32,101,52,67
103,20,20,37
72,100,23,93
114,65,91,54
82,106,33,31
108,45,40,23
64,101,80,43
59,108,84,73
109,73,23,83
101,72,94,93
52,122,30,48
28,102,88,106
102,39,19,20
93,102,107,58
123,91,74,72
68,106,87,99
87,66,68,103
53,68,64,103
114,41,93,76
66,75,112,35
88,6,53,105
49,35,112,56
102,85,78,95
