Player1,Player2,Player3,Player4
Smart_QueenFeatureAI,Smart_QueenFeatureAI,Smart_QueenFeatureAI,Smart_HeartFeatureAI
79,105,66,110
34,41,115,26
108,30,52,62
126,17,34,39
15,26,101,74
102,97,97,64
14,48,85,105
78,64,30,116
52,111,65,60
77,103,106,38
51,46,114,41
100,59,94,71
109,45,75,59
75,114,66,69
63,92,111,94
24,101,32,23
66,106,78,38
100,66,95,99
37,64,14,101
102,75,47,28
33,57,84,114
57,33,87,111
57,65,51,115
100,45,79,64
66,22,99,101
113,90,93,100
94,71,75,120
100,31,91,102
102,58,70,94
112,62,21,93
81,36,103,68
32,49,71,100
83,12,89,104
74,39,74,101
111,77,36,28
95,66,105,58
4,122,65,61
101,112,81,66
45,111,54,6
59,34,89,106
81,59,111,73
115,71,80,58
111,86,65,98
75,114,71,100
84,42,97,101
62,122,85,55
93,60,109,62
75,99,102,84
106,33,53,60
101,60,80,47
92,90,71,107
96,61,92,111
20,44,35,117
47,52,74,115
66,98,55,105
61,13,35,107
35,21,21,103
36,96,35,121
103,90,87,80
76,110,41,25
47,34,35,100
95,109,64,92
50,70,111,21
49,101,89,85
32,95,100,61
120,84,69,87
104,98,36,50
100,91,53,80
63,48,32,109
83,75,66,100
23,22,101,106
102,75,65,46
109,37,57,85
103,68,25,56
22,56,37,101
44,85,108,87
58,51,115,100
110,71,90,89
18,107,29,62
71,102,98,89
56,84,62,122
109,82,45,88
96,97,45,122
102,42,44,64
54,12,111,75
55,103,98,32
7,78,90,113
101,67,65,91
91,93,72,104
42,98,71,113
81,80,91,108
91,103,114,88
94,100,76,54
91,105,89,39
18,109,56,69
46,108,55,43
109,52,49,6
106,67,103,84
77,101,80,102
44,99,24,121
77,92,107,12
88,7,122,71
55,100,79,54
24,98,65,101
93,21,101,73
85,63,108,68
41,106,60,81
100,91,98,71
70,87,109,58
93,102,56,73
61,109,82,108
73,29,110,76
87,100,75,98
112,88,61,99
28,29,22,101
62,33,90,103
112,34,101,77
77,91,54,102
123,82,45,74
101,55,83,13
73,94,77,116
91,80,114,111
101,56,89,78
32,46,101,37
101,95,55,109
56,110,78,44
40,120,103,97
45,113,26,32
99,53,119,53
87,114,90,105
71,112,12,93
100,110,47,103
102,60,80,82
68,21,55,108
82,106,41,59
48,64,108,68
59,38,51,104
99,77,109,75
26,57,107,62
110,107,78,101
6,108,25,5
67,65,101,91
114,80,100,66
72,19,51,110
71,44,72,101
74,87,101,98
78,111,45,18
14,16,108,42
114,97,97,52
66,72,103,83
88,62,60,114
83,38,116,87
107,60,86,71
84,106,17,9
68,81,109,30
106,62,65,55
74,112,88,50
101,61,51,75
102,78,7,65
43,57,43,109
36,65,105,46
47,109,63,69
108,28,73,43
80,72,62,110
70,44,107,31
55,88,66,115
36,106,29,9
50,29,100,73
79,69,76,100
105,77,41,101
84,102,48,90
105,24,47,4
100,38,59,55
59,79,7,107
35,115,55,83
92,89,100,79
127,66,46,49
113,63,40,36
58,27,23,108
113,62,43,34
15,107,84,46
27,44,74,107
59,127,83,55
105,67,79,109
112,66,72,74
37,65,35,115
112,69,82,133
57,72,112,83
66,120,85,89
30,100,101,93
110,89,109,52
75,105,66,42
78,36,111,99
66,91,98,105
111,85,87,41
65,58,115,50
100,49,28,111
119,75,79,87
101,69,46,108
20,85,113,34
50,58,101,79
75,103,44,66
102,72,109,77
39,110,35,32
100,92,77,127
114,85,64,25
28,79,87,130
92,110,73,85
112,69,70,73
25,57,104,30
76,98,77,109
102,85,89,84
38,56,84,110
59,101,67,61
35,99,107,47
100,87,35,66
63,43,18,128
70,111,28,7
76,113,23,40
58,83,104,115
46,42,108,56
111,58,96,23
69,23,13,111
29,121,86,52
58,102,109,91
65,92,87,116
75,91,21,101
105,88,99,68
43,110,34,65
98,72,42,112
100,38,72,42
42,36,118,56
32,15,102,31
102,65,54,67
111,88,97,100
115,38,109,98
42,36,104,34
47,102,83,56
65,103,67,53
63,90,104,31
70,100,95,95
113,94,52,65
92,88,104,112
34,28,80,110
111,86,62,101
44,85,102,21
79,40,104,101
123,60,96,45
119,75,89,41
83,107,35,27
100,76,76,72
47,115,46,44
85,119,62,94
104,82,103,71
95,100,95,70
70,109,72,73
101,46,28,41
99,74,124,63
73,120,46,85
24,118,63,119
72,109,31,76
36,43,106,103
92,37,53,106
93,109,55,103
24,104,56,68
84,39,100,65
113,33,54,52
45,102,64,77
51,101,79,21
94,65,102,63
109,58,26,59
86,88,103,83
102,96,68,58
61,63,40,124
59,100,64,29
103,44,26,115
93,104,53,38
91,29,121,47
58,78,47,105
120,63,103,74
115,88,40,81
119,12,85,72
49,35,108,96
108,43,30,35
68,59,115,46
75,104,49,60
108,64,69,47
48,43,94,103
97,81,82,100
49,101,60,42
27,103,93,65
37,56,12,111
42,17,80,113
64,31,43,114
102,100,97,61
99,106,33,86
83,47,109,49
114,68,94,48
67,57,98,102
38,88,61,101
50,44,15,107
103,85,64,72
102,86,47,17
35,46,62,109
73,104,50,61
76,112,88,84
126,45,67,50
31,107,12,66
92,103,28,65
76,70,132,46
114,44,47,47
59,100,62,67
78,84,67,131
83,105,63,73
91,35,25,101
133,13,37,69
102,36,54,60
104,56,88,40
76,93,74,117
112,74,44,22
77,66,113,32
84,17,46,105
104,51,45,16
110,86,77,87
105,46,91,82
17,80,107,84
106,14,17,43
24,79,83,102
7,94,83,104
100,82,95,83
23,112,109,44
47,77,18,110
99,119,18,52
109,47,78,54
103,40,46,63
101,84,83,92
46,113,96,69
107,106,39,108
102,48,57,45
129,65,84,82
19,22,117,22
120,37,22,37
66,9,116,61
88,103,79,90
111,99,103,83
26,66,108,52
72,20,118,42
104,14,79,127
56,100,80,88
61,92,100,35
61,82,103,78
73,100,37,78
123,87,53,61
84,44,102,94
48,86,102,88
83,65,75,101
87,70,84,119
26,27,25,102
54,100,77,93
62,116,78,68
55,8,16,101
82,115,65,62
30,77,38,107
53,102,80,53
102,0,56,58
91,132,64,109
62,21,27,106
97,89,66,108
79,42,108,95
53,24,69,106
54,79,105,50
60,101,55,72
91,34,57,106
110,72,101,113
110,86,51,77
105,71,100,84
108,27,77,76
36,115,15,14
70,49,103,102
62,109,79,110
108,79,75,62
111,68,56,53
44,109,73,62
85,82,13,108
65,54,96,109
121,75,40,88
107,35,61,49
93,69,100,62
127,93,134,114
106,74,92,52
68,94,114,48
48,54,100,122
51,21,77,103
47,103,77,61
91,109,37,87
70,54,109,91
26,69,46,111
78,48,106,92
80,85,80,115
77,74,72,101
48,104,61,75
83,89,48,104
104,32,48,68
105,50,9,52
34,28,104,14
44,96,101,83
24,122,60,10
53,77,83,111
48,106,36,62
73,85,28,102
110,62,48,104
82,92,81,105
78,64,110,36
63,64,103,58
67,97,104,92
91,83,103,83
35,67,45,105
101,60,73,90
89,79,110,46
28,51,112,61
68,65,111,80
113,90,73,48
86,108,68,62
67,60,92,105
20,105,22,33
90,11,110,77
73,78,95,114
79,60,107,78
78,75,103,104
61,45,37,109
135,74,114,73
110,30,37,75
39,48,113,16
85,92,37,110
80,88,102,54
50,92,81,101
102,37,41,72
78,43,92,111
89,79,85,107
103,97,36,88
70,65,106,83
102,67,101,90
117,92,77,110
28,61,104,23
63,122,41,98
60,32,111,85
100,88,86,86
12,58,75,107
101,62,44,45
108,62,27,91
118,64,56,50
109,35,96,48
106,64,62,92
99,72,82,107
77,94,113,76
88,38,100,98
51,117,71,49
42,59,47,104
101,103,68,88
66,58,103,61
47,115,80,82
109,54,84,41
102,78,108,72
102,61,72,53
69,76,67,112
111,72,42,63
92,109,65,22
73,28,115,72
67,85,68,104
50,85,75,114
55,102,112,55
58,83,106,77
46,107,97,74
101,51,99,73
69,78,102,75
43,76,64,105
102,7,63,44
102,64,35,87
18,97,102,107
26,104,77,117
31,117,84,56
52,60,35,105
51,105,44,88
55,72,105,92
97,58,69,100
102,12,47,55
70,82,108,100
49,89,40,110
59,104,66,59
120,73,30,101
125,41,40,82
81,109,94,40
56,47,77,108
31,44,87,126
70,25,86,107
85,72,66,101
95,104,97,28
64,57,103,64
47,50,106,49
47,100,29,112
42,106,70,34
100,94,41,89
54,73,94,103
94,80,103,83
50,102,91,81
51,83,120,34
83,106,59,40
12,61,104,39
60,61,19,112
13,47,104,52
115,39,46,52
102,24,30,96
109,87,70,58
45,94,105,8
99,110,60,91
94,125,71,70
66,103,96,95
106,101,63,126
53,92,28,115
102,25,53,36
68,88,100,68
126,77,66,91
79,99,67,115
49,44,65,130
101,81,41,65
37,37,57,121
91,93,84,128
66,46,115,25
102,103,89,66
44,9,44,119
52,79,34,123
61,80,123,96
61,99,97,103
92,76,100,56
39,114,98,73
103,44,82,95
26,57,92,113
118,89,61,56
113,92,45,38
80,113,35,60
115,61,52,60
66,104,39,7
72,51,100,101
78,64,100,46
29,100,81,42
96,99,112,89
81,38,134,107
75,37,108,68
95,59,66,104
54,96,106,32
29,70,115,74
49,105,94,40
97,47,101,79
67,77,104,76
51,53,105,43
101,91,34,98
68,71,104,45
96,119,40,69
77,103,27,117
51,108,61,104
110,35,96,83
39,51,56,106
108,103,97,52
64,14,119,91
92,103,69,96
69,62,100,57
112,51,48,41
91,102,64,103
56,33,98,101
43,63,41,105
80,55,126,63
119,9,25,27
103,103,35,83
41,68,33,110
37,106,85,24
108,46,11,51
34,31,103,12
97,46,109,36
57,72,123,36
65,115,68,40
106,87,30,29
101,0,35,44
110,75,107,68
113,99,80,68
65,103,83,37
70,64,103,51
117,11,79,9
63,82,63,116
68,78,102,112
90,66,113,91
59,60,116,53
100,33,52,31
38,100,95,91
45,60,65,118
94,102,46,82
69,91,105,59
100,64,39,85
43,51,90,104
83,44,111,50
63,110,69,82
59,104,48,41
112,106,89,89
112,53,63,24
25,70,15,106
36,49,104,63
97,106,90,67
97,83,103,77
79,94,102,85
7,113,70,62
16,38,116,82
65,29,123,71
110,65,45,104
17,43,45,111
101,42,117,28
62,102,77,83
54,40,14,108
121,74,71,58
92,69,103,24
56,35,116,45
61,103,49,39
87,71,100,30
58,101,115,50
73,103,86,98
51,106,50,81
27,30,118,77
112,89,53,70
101,40,30,81
46,56,103,11
75,81,90,114
58,50,56,124
36,109,67,40
75,55,54,104
73,60,73,118
55,88,105,76
93,96,109,62
109,33,67,115
70,124,70,60
110,14,85,43
90,105,109,56
83,82,116,43
95,78,58,129
91,94,65,110
51,67,68,102
32,24,24,100
82,125,77,112
68,98,111,47
72,35,75,106
48,57,103,80
52,109,54,73
85,50,122,103
109,115,112,60
107,52,47,82
55,76,89,104
39,109,88,88
57,39,108,48
73,92,57,102
52,103,25,36
74,47,96,107
57,100,108,59
20,105,21,34
100,91,102,31
68,72,41,107
99,110,88,63
70,106,70,42
70,105,65,48
58,64,92,110
75,125,63,97
71,79,71,103
101,82,51,90
40,5,117,18
99,71,115,39
122,23,66,77
34,103,63,88
76,103,94,51
61,50,60,117
86,97,58,119
109,74,110,67
53,101,98,72
58,100,65,29
63,94,85,118
76,98,120,30
109,88,63,100
