Player1,Player2,Player3,Player4
Smart_QueenFeatureAI,Smart_QueenFeatureAI,Smart_QueenFeatureAI,Smart_HeartFeatureAI
48,10,53,105
58,45,85,100
25,114,21,56
114,85,95,66
104,83,86,87
56,83,44,105
69,44,52,123
83,56,102,83
74,70,120,96
57,48,46,101
102,45,65,76
40,59,106,47
92,103,72,93
60,61,98,105
47,111,32,26
44,34,73,101
73,64,100,123
0,110,100,78
35,53,21,107
82,101,102,111
45,18,89,100
64,102,52,34
67,101,70,86
37,88,55,108
52,123,126,131
78,81,110,91
61,64,42,121
30,121,113,132
73,53,82,116
88,100,67,33
29,20,101,102
58,62,19,113
38,15,23,104
39,53,79,117
38,43,22,113
53,64,70,101
10,24,55,127
67,101,56,64
58,68,24,102
39,69,72,108
58,100,97,105
31,31,107,47
34,42,105,71
74,83,57,110
107,102,95,56
44,21,105,82
54,24,63,111
64,59,68,133
73,61,82,108
114,49,25,64
12,25,105,74
71,57,15,109
63,43,46,100
93,23,100,72
54,82,70,118
81,42,65,100
21,112,76,43
109,44,68,67
25,48,61,118
64,73,120,31
103,62,86,73
105,31,52,64
51,106,6,53
118,42,18,38
56,33,62,101
76,107,91,50
89,33,97,105
112,63,60,53
100,10,21,13
50,49,115,74
115,69,81,59
57,59,86,122
91,79,47,107
34,32,98,124
25,45,45,101
69,28,52,103
47,52,36,117
125,38,52,73
79,94,80,107
74,61,87,102
55,49,44,104
107,37,78,102
106,85,90,79
57,106,94,67
103,108,66,83
30,5,106,39
39,62,71,116
31,35,72,114
69,29,8,110
57,51,67,113
106,42,30,38
82,41,54,111
36,37,24,119
110,24,54,64
81,100,75,68
56,46,50,100
98,73,128,97
79,23,49,101
102,79,74,105
86,90,60,124
24,55,114,95
85,110,25,104
69,53,14,116
74,88,51,111
57,46,85,100
106,100,66,88
72,81,66,105
1,5,31,107
95,73,15,105
93,93,93,117
98,105,67,54
39,108,71,34
57,25,1,133
112,105,93,86
42,74,117,55
106,45,49,52
90,79,51,104
108,72,25,83
51,76,83,114
105,49,42,92
74,74,72,104
46,27,40,103
74,65,76,109
101,80,40,67
87,43,50,108
48,74,47,119
62,106,63,57
99,36,12,105
67,83,70,104
42,130,65,87
54,100,21,77
107,85,87,117
61,75,51,101
67,92,88,113
47,76,79,122
58,65,57,108
108,127,92,105
100,82,50,56
96,102,93,33
36,35,43,102
41,101,82,100
123,80,41,80
84,112,74,90
62,100,54,36
72,78,66,108
12,83,80,113
47,58,22,125
79,18,53,102
51,66,71,100
82,78,61,103
57,1,40,118
69,117,51,87
104,102,44,74
42,1,26,111
85,96,44,135
72,37,22,121
36,25,109,46
23,72,101,92
88,40,73,123
102,65,40,117
118,69,76,97
84,104,81,55
88,69,52,115
59,36,48,109
72,68,67,117
67,32,17,100
68,56,28,100
3,87,49,113
29,134,81,80
108,76,42,62
79,100,88,93
109,101,70,80
102,39,59,52
88,102,90,80
53,20,7,100
65,88,97,110
80,111,102,67
8,32,39,101
18,17,17,128
85,100,55,84
52,101,77,94
68,45,121,126
57,36,85,110
65,74,120,101
84,62,76,102
73,50,52,113
69,101,77,77
95,96,64,105
60,17,36,103
53,38,55,106
52,117,30,89
67,101,51,105
54,72,56,106
49,113,38,52
70,97,49,108
50,100,72,102
74,60,87,103
97,72,111,116
74,113,51,86
119,53,85,67
50,45,101,92
111,61,76,40
43,43,28,102
103,56,41,52
79,30,43,100
103,90,62,69
54,104,72,94
31,44,37,104
96,94,105,101
64,74,86,100
101,57,84,10
97,15,100,76
104,69,28,123
4,41,18,117
125,82,91,98
78,130,104,84
100,49,50,89
33,50,24,109
112,93,51,68
110,42,42,58
103,61,21,103
56,72,71,125
83,104,87,50
58,64,80,122
45,16,12,107
50,30,70,102
88,53,116,31
18,32,19,111
48,44,38,122
52,94,78,100
64,30,93,101
21,28,61,106
45,86,67,126
113,66,101,80
105,55,92,72
15,52,24,125
105,51,27,33
105,67,40,76
120,119,95,98
108,54,66,96
80,62,78,104
93,72,108,87
40,96,14,102
93,26,51,118
81,82,55,106
43,97,72,112
14,59,69,110
100,101,43,44
61,41,40,110
71,46,34,101
60,24,38,130
48,100,73,67
97,111,62,90
106,104,78,72
57,23,28,108
94,79,81,106
83,49,60,132
107,62,60,59
81,59,39,109
66,29,87,106
65,51,53,119
20,113,57,98
72,101,70,45
34,109,41,68
7,15,43,115
35,14,45,122
43,56,48,105
121,86,47,70
74,103,57,90
66,35,106,45
36,19,59,102
73,61,67,123
84,112,47,81
102,60,32,94
23,76,86,103
44,103,91,86
100,40,32,8
22,72,15,107
60,107,75,82
68,37,10,101
40,75,72,101
106,13,53,44
28,34,28,126
46,126,65,51
104,91,99,66
84,115,68,93
78,98,78,106
32,56,24,104
71,62,75,116
66,92,59,107
92,41,71,120
78,88,107,51
9,54,50,103
114,103,66,41
60,102,66,96
82,51,40,115
62,79,101,46
105,94,73,88
59,43,44,106
53,56,67,112
69,103,85,31
41,68,40,103
38,38,19,121
50,121,55,98
49,58,74,107
95,84,78,103
55,23,29,109
106,68,88,98
82,76,22,108
52,108,4,52
98,25,100,101
51,42,48,111
69,100,65,90
84,80,101,59
87,55,34,112
100,84,31,109
34,24,91,103
68,110,96,50
74,100,58,92
23,46,121,98
74,56,107,51
81,98,109,36
104,90,85,45
125,45,5,77
83,59,79,103
87,55,76,106
24,1,52,103
80,102,48,94
114,78,89,79
72,83,83,122
67,51,66,104
23,86,95,120
56,104,11,81
71,30,42,109
15,96,124,89
37,99,73,115
27,48,20,121
65,57,11,119
41,27,100,84
100,61,37,54
110,40,30,72
25,110,28,89
30,89,27,106
82,100,71,107
45,94,98,123
84,100,46,94
44,16,102,90
66,51,100,107
50,111,50,41
31,44,66,111
80,77,50,117
21,111,31,89
77,113,94,76
21,25,34,100
76,26,76,110
12,14,120,34
72,49,58,109
66,73,46,103
50,109,88,113
106,35,75,108
116,51,62,59
125,86,60,53
54,79,90,101
81,46,101,60
93,90,110,67
116,58,67,83
16,44,34,122
60,56,68,104
78,37,94,115
93,108,52,107
44,58,80,106
44,71,0,101
49,33,64,106
49,75,52,112
59,29,90,110
36,8,35,101
109,61,86,104
100,99,94,103
106,99,78,77
90,100,67,67
115,114,83,48
42,86,19,105
68,59,83,114
65,81,35,107
8,10,21,105
85,62,126,87
70,99,45,110
92,79,75,114
43,105,48,92
76,16,18,106
115,72,103,70
62,12,93,121
77,62,107,78
88,117,39,80
35,40,106,35
82,78,55,109
81,103,86,54
96,37,102,89
4,52,59,101
113,15,71,89
32,15,23,110
91,120,126,59
63,92,43,126
51,69,68,100
63,41,39,109
0,76,105,107
130,86,85,131
102,79,64,79
57,50,110,71
62,63,55,108
72,53,88,111
50,37,15,114
22,46,61,123
93,46,85,100
66,44,77,101
121,73,41,89
76,100,53,95
47,35,25,109
78,100,77,69
68,103,100,53
36,47,63,106
45,67,28,112
61,128,120,87
81,56,48,103
72,75,67,110
65,68,82,109
76,104,100,80
64,49,105,106
124,49,92,95
90,97,35,102
64,87,36,101
82,24,40,106
77,71,22,118
39,111,41,61
43,41,25,107
40,96,12,104
59,28,105,60
70,71,113,34
112,96,62,90
16,53,20,127
59,49,65,115
39,17,3,121
79,66,32,111
83,40,106,95
101,67,111,45
83,60,78,103
58,62,64,104
84,43,57,104
108,60,25,95
64,100,23,101
100,72,55,61
59,113,64,52
64,46,4,102
93,108,50,109
70,95,90,105
88,75,110,87
111,16,74,87
50,83,66,125
111,76,112,97
56,40,50,106
66,35,81,106
65,87,64,108
26,39,80,107
54,18,72,108
44,73,34,101
129,52,14,21
31,101,96,24
28,40,4,108
69,42,55,122
108,51,106,131
104,63,82,75
48,103,29,72
44,35,22,115
114,110,91,45
45,94,76,109
65,57,66,100
9,10,3,122
38,49,23,106
126,90,45,27
50,73,76,125
70,54,91,109
54,77,71,122
29,75,84,100
68,65,18,101
53,22,117,60
30,110,46,102
40,116,77,91
131,39,85,69
47,88,101,124
77,78,50,119
30,83,100,111
105,93,113,85
67,67,53,101
82,106,78,94
111,72,94,83
78,47,76,123
109,71,55,89
102,66,53,103
91,126,79,100
14,20,81,101
15,31,33,101
37,102,43,70
43,74,57,114
10,78,123,113
87,52,59,126
59,100,12,81
95,48,110,107
74,51,71,128
48,117,62,61
49,73,60,106
28,100,37,87
77,19,110,46
60,74,53,101
98,125,84,17
58,82,84,100
54,52,110,36
47,67,106,104
32,105,51,64
105,72,61,86
105,103,123,65
110,65,54,95
47,0,14,119
69,64,106,49
76,30,2,108
15,29,47,125
110,88,102,96
53,63,55,117
35,114,34,33
19,30,26,105
113,55,74,82
93,62,31,102
31,12,37,100
92,102,79,123
61,90,106,67
43,72,11,126
30,81,40,101
62,28,100,62
57,100,34,97
109,49,69,97
108,46,27,71
77,111,26,110
102,104,49,69
25,45,39,107
108,72,72,72
52,36,100,100
108,99,83,106
80,76,102,102
41,45,106,60
99,119,27,43
69,47,34,102
64,76,66,118
52,104,70,98
40,46,24,106
104,51,95,74
66,89,33,100
38,37,32,109
47,35,25,109
40,84,57,107
4,101,31,8
34,103,83,68
90,76,103,55
64,34,106,84
70,40,64,114
18,15,28,119
19,9,100,52
32,92,41,123
117,77,70,60
118,90,114,110
41,13,19,107
72,96,110,46
102,72,56,22
110,104,89,57
98,60,30,100
49,28,1,102
86,107,28,103
74,102,92,56
18,28,28,106
36,93,100,95
38,5,65,108
117,82,26,99
37,55,100,96
70,71,74,109
56,65,102,101
131,98,43,88
27,64,61,100
58,113,112,77
36,29,67,120
57,42,35,118
82,116,56,106
84,41,59,104
30,7,22,121
58,95,106,101
68,96,49,111
48,38,84,118
127,46,46,69
68,86,77,129
51,81,101,91
110,66,56,92
61,66,52,109
26,113,37,40
36,54,69,129
70,58,55,105
13,82,16,105
56,23,115,94
62,79,100,119
11,24,39,106
50,108,57,73
103,33,64,16
62,114,62,50
40,105,97,82
15,13,15,101
19,54,30,113
96,101,39,52
26,1,11,106
62,90,115,93
107,116,84,53
46,21,40,109
49,78,102,95
85,101,68,34
74,105,96,85
81,75,109,95
110,22,10,74
46,48,51,107
64,40,121,99
54,39,43,116
30,69,47,106
18,41,80,113
99,107,65,125
73,57,83,111
63,37,46,106
54,37,96,101
43,44,101,64
101,59,61,67
62,102,111,13
46,43,36,127
102,81,35,70
64,101,63,60
40,109,67,72
65,97,59,103
40,101,69,42
113,54,98,59
97,64,117,10
5,87,57,103
69,101,97,93
49,19,45,103
124,58,74,68
7,56,112,113
75,90,104,91
71,111,71,71
54,115,76,79
53,104,76,91
20,107,35,54
74,102,70,114
67,40,71,110
102,39,84,99
39,113,27,37
113,93,39,115
37,12,64,103
87,64,90,119
74,74,40,100
33,59,39,121
85,76,111,52
36,77,66,109
91,56,73,104
106,63,97,94
68,46,57,117
25,53,74,100
87,36,13,116
15,117,67,89
25,5,35,115
66,82,75,101
74,97,40,113
49,96,69,110
111,38,97,78
125,75,97,99
74,67,38,109
62,89,58,115
39,19,48,110
19,7,90,100
43,109,94,78
95,66,63,100
46,58,5,107
58,54,29,111
64,62,52,110
