Player1,Player2,Player3,Player4
Smart_QueenFeatureAI,Smart_QueenFeatureAI,Smart_QueenFeatureAI,Smart_VoidFeatureAI
32,26,33,125
56,34,61,101
100,60,81,83
94,51,79,100
67,108,92,21
83,54,103,48
101,90,63,34
75,92,48,109
44,58,13,101
57,75,104,16
84,50,73,117
44,44,40,124
60,87,72,105
104,91,46,83
76,57,83,108
22,86,97,119
103,45,42,98
47,28,90,123
59,62,87,116
117,48,28,95
77,52,102,21
24,107,24,25
96,42,64,122
17,48,62,125
8,37,103,68
51,44,43,114
76,31,79,102
54,36,86,112
81,68,91,120
27,34,54,101
21,44,24,127
24,38,52,102
69,77,105,109
75,115,44,90
112,62,78,36
36,128,43,9
29,69,81,109
20,35,1,124
53,32,56,111
76,106,72,34
9,56,83,104
67,50,25,110
76,58,100,90
115,86,80,43
33,105,36,78
67,50,27,108
72,131,43,78
121,84,63,56
39,28,47,102
19,103,60,70
134,130,87,45
43,39,100,34
66,71,40,111
89,18,109,108
89,105,90,40
52,27,54,119
97,87,104,72
49,102,93,80
73,56,46,113
42,17,18,103
72,81,60,111
77,52,44,115
66,94,90,110
39,83,100,66
61,59,106,98
43,35,108,66
56,103,49,44
47,108,91,78
108,35,82,99
53,61,64,110
78,62,33,115
102,44,18,88
71,26,128,99
84,73,105,26
51,24,62,115
13,112,14,41
37,43,28,108
24,104,42,82
54,28,28,106
95,76,119,70
47,12,17,104
28,41,34,113
7,65,75,105
111,69,68,76
67,101,43,77
86,44,49,109
65,54,66,103
91,95,74,100
45,33,101,109
39,45,102,66
70,103,11,68
58,72,77,117
104,31,50,67
76,25,112,75
38,83,57,110
111,101,86,98
78,60,13,101
71,96,87,106
56,35,59,102
61,57,34,100
60,65,63,100
89,49,53,133
64,70,53,101
119,95,59,87
75,56,109,84
76,72,75,101
52,73,55,108
82,98,105,111
103,42,88,91
67,118,32,107
86,106,93,39
70,101,91,98
125,52,131,88
113,66,62,119
112,57,59,60
98,82,124,128
42,13,23,102
76,102,23,87
66,62,108,52
27,47,35,107
58,24,66,104
50,81,103,54
77,107,84,92
40,123,38,51
73,65,48,102
47,69,24,112
65,104,39,44
71,101,89,63
83,44,84,113
49,86,69,120
103,75,66,80
62,85,20,121
25,37,44,110
88,56,71,109
104,39,46,63
56,62,122,48
63,58,63,104
88,111,79,46
17,49,8,106
111,89,26,62
88,125,86,25
101,62,0,53
100,89,41,58
102,91,99,104
57,63,117,51
29,83,111,101
94,41,29,124
20,97,109,98
86,54,107,113
88,72,60,104
54,80,108,82
41,9,30,100
39,25,47,105
97,74,68,121
39,111,59,79
49,92,73,110
26,66,47,113
65,62,57,104
21,103,104,24
71,102,95,92
80,108,35,101
59,63,107,95
67,31,49,105
81,94,109,4
62,56,63,107
39,58,39,116
101,104,96,95
50,82,51,105
53,93,97,117
73,57,79,115
82,48,45,113
8,25,8,103
109,109,39,103
28,28,23,101
107,96,93,64
45,59,83,101
51,64,100,37
51,122,81,70
74,77,32,105
63,63,54,108
56,29,117,86
111,49,49,79
107,106,84,99
78,119,77,50
102,93,56,73
50,78,104,20
64,28,94,102
20,0,18,106
24,71,40,117
86,84,102,88
88,83,111,42
53,75,43,117
13,24,43,100
117,62,62,83
98,72,101,53
49,36,55,112
64,28,90,106
78,88,94,100
48,63,29,112
48,52,29,123
29,35,43,109
128,100,71,61
48,95,79,102
35,36,70,111
85,17,103,83
53,69,80,122
84,64,67,109
46,43,60,103
110,0,55,51
98,67,39,120
61,82,101,44
49,26,102,39
111,39,51,87
109,72,50,57
56,48,41,107
56,49,76,107
28,56,123,81
51,84,107,46
22,25,100,69
13,15,108,44
37,74,99,114
60,69,106,89
23,56,35,102
45,71,68,104
35,70,118,101
38,24,108,46
107,88,98,31
77,74,36,101
68,48,48,124
23,38,63,128
89,83,74,114
40,100,51,61
43,57,123,65
76,110,20,118
103,55,59,107
59,52,68,109
107,5,21,11
70,106,70,78
22,97,103,102
103,56,30,63
41,101,56,54
58,77,66,123
81,74,85,120
90,81,43,110
62,91,104,67
43,74,49,122
16,64,71,101
61,14,26,115
44,82,25,101
29,40,75,108
43,63,42,104
29,100,21,102
100,79,91,54
54,59,101,74
93,116,41,74
57,61,58,112
77,55,108,48
37,104,32,43
89,80,31,124
50,42,18,106
32,38,108,74
44,87,87,106
7,57,44,108
109,75,50,54
106,81,126,83
63,51,83,127
80,90,77,113
71,82,34,101
112,61,103,48
102,90,41,91
61,83,68,112
102,69,62,91
96,58,95,111
108,118,83,51
88,90,65,117
110,79,97,74
88,57,20,123
50,38,39,125
39,45,27,105
104,30,75,43
65,108,89,62
104,14,70,100
50,78,122,38
45,84,94,101
64,30,84,110
26,4,44,106
27,25,108,92
55,39,51,107
64,110,41,73
40,37,111,64
116,78,79,87
73,51,41,123
28,101,9,78
8,41,25,106
104,79,76,65
69,103,74,78
98,52,97,113
101,52,69,66
119,131,84,62
35,40,115,62
83,54,74,113
94,93,103,70
89,82,53,100
20,47,37,112
86,97,75,102
101,50,23,78
60,102,66,96
72,29,37,114
3,104,76,69
105,56,45,10
51,36,49,116
21,100,59,36
52,72,26,102
42,56,74,116
19,60,28,109
21,71,59,101
10,51,46,109
45,48,71,124
92,57,69,106
98,104,91,67
101,40,3,36
22,51,5,102
109,15,56,72
101,96,73,54
68,106,86,100
47,109,28,104
81,113,92,38
36,107,46,99
93,95,63,109
20,105,57,106
20,31,6,123
93,49,82,100
62,21,62,107
90,73,68,129
104,84,96,76
19,20,61,116
52,80,19,101
65,119,128,120
42,76,62,108
100,43,92,89
77,62,107,78
23,4,9,108
1,20,57,102
109,100,55,96
31,66,114,77
74,22,50,106
105,92,62,65
100,71,83,70
111,79,61,73
57,95,112,60
51,65,22,114
47,38,59,108
118,76,39,55
64,52,55,117
42,46,22,106
107,28,6,75
122,81,63,94
88,102,86,84
69,62,107,50
103,92,55,74
20,54,39,103
52,128,86,58
94,104,114,84
70,84,27,107
115,78,121,82
67,74,11,100
89,108,65,62
40,84,53,111
53,69,86,116
132,52,64,76
108,69,62,85
55,101,76,92
98,130,121,83
41,88,88,107
63,61,47,117
95,66,49,114
43,87,54,104
119,103,11,55
40,65,125,58
76,108,89,87
58,38,56,100
84,75,23,106
118,88,76,78
68,57,60,103
58,40,15,103
119,89,31,49
81,28,110,105
97,39,46,106
92,66,50,116
13,103,92,44
81,105,59,115
49,25,84,130
64,115,66,79
64,58,98,104
103,74,98,85
16,85,102,85
61,92,22,113
103,55,44,86
53,50,30,119
44,31,36,105
100,65,54,105
65,101,85,109
48,60,101,79
51,87,44,106
75,43,105,65
23,17,38,102
102,54,49,11
15,57,78,102
105,91,85,43
95,83,46,100
93,45,94,128
102,100,41,81
62,38,100,52
69,67,12,104
45,19,51,101
33,87,108,96
76,66,42,104
105,83,61,75
119,55,113,73
67,109,40,108
59,93,102,70
72,49,57,110
104,79,67,74
34,61,110,83
85,18,38,111
27,63,23,103
25,114,37,76
119,81,114,82
69,37,77,105
57,97,70,100
48,108,25,35
66,18,110,94
99,29,77,119
59,92,88,121
104,44,59,117
115,30,51,92
43,70,50,125
46,37,23,110
81,103,43,97
84,42,97,101
109,95,6,78
86,76,58,104
47,20,8,105
58,17,81,132
56,65,9,122
95,103,86,76
125,39,69,91
97,91,110,98
61,107,59,97
89,64,63,108
100,41,73,74
22,31,23,104
66,43,118,61
55,81,77,111
55,28,81,124
102,53,62,71
42,105,7,62
33,55,99,101
74,90,108,88
17,73,79,119
105,26,76,81
18,104,83,47
104,83,88,49
87,75,106,56
95,82,45,102
51,38,57,106
17,41,47,111
56,61,91,116
54,23,108,67
67,64,44,113
65,30,27,130
58,60,109,97
95,76,79,110
42,103,48,95
35,22,87,108
92,95,34,103
58,46,62,122
70,59,116,43
31,46,68,107
44,17,49,106
101,49,54,84
71,43,106,68
43,48,44,117
62,103,69,90
30,103,53,102
31,52,43,126
58,57,108,101
93,88,34,109
74,36,32,110
58,105,104,93
79,115,30,100
1,42,65,108
104,42,114,64
56,51,65,116
86,103,89,82
30,18,13,119
77,97,129,57
48,29,13,126
66,62,95,101
91,74,56,103
51,107,61,33
33,28,18,101
112,14,79,83
87,95,39,103
29,32,112,79
69,100,76,79
99,24,58,107
58,92,73,101
64,63,59,102
32,31,37,116
67,50,102,69
110,68,13,97
42,50,47,113
40,86,73,125
51,38,100,99
45,83,55,105
72,108,102,78
63,50,37,102
71,91,52,110
8,89,14,105
107,66,93,94
47,74,53,114
103,43,77,29
81,71,56,116
95,97,116,88
42,7,23,108
100,74,88,98
41,75,94,114
65,103,57,99
108,54,40,86
99,56,87,118
24,125,68,35
43,37,105,103
54,21,63,114
70,57,112,49
75,99,78,108
104,45,108,103
84,83,75,118
109,38,57,12
9,68,36,103
45,115,49,79
101,89,102,68
89,92,116,27
68,67,44,109
85,93,102,44
78,94,84,104
103,35,68,82
69,109,76,34
86,108,23,71
46,25,40,105
60,134,116,86
45,102,41,28
30,79,5,102
66,61,102,59
76,54,78,116
106,96,70,52
69,12,32,103
47,74,67,100
101,105,124,66
96,83,73,108
80,47,60,101
27,130,67,64
59,23,30,104
76,106,63,43
107,76,76,65
34,77,31,110
110,84,61,69
106,70,36,76
44,33,25,114
47,107,44,54
60,105,84,111
42,54,55,101
108,65,97,90
29,25,44,118
36,76,69,107
84,93,83,100
73,46,91,114
17,50,44,105
87,46,91,100
64,122,28,38
61,101,73,17
106,61,64,21
95,52,58,119
89,13,35,115
59,71,43,115
103,117,56,48
57,103,26,66
67,113,84,24
29,43,68,112
114,108,51,87
42,75,79,128
99,73,85,103
24,95,26,107
40,104,50,94
124,124,101,47
46,66,65,111
11,101,67,73
111,18,31,92
55,67,104,62
82,78,53,111
25,62,62,103
66,4,44,102
76,64,83,101
44,105,97,42
91,40,107,50
103,57,69,95
23,71,49,109
21,49,73,109
49,52,104,83
13,102,51,50
54,70,48,116
57,62,63,106
45,53,81,109
80,79,109,92
58,102,50,114
34,80,57,117
64,37,48,103
101,72,43,0
39,38,81,130
123,99,57,81
44,101,65,78
22,24,91,115
62,101,32,57
101,54,61,72
103,63,76,82
101,37,31,83
33,92,56,107
57,107,83,41
58,97,106,99
