Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_HeartFeatureAI
69,103,103,85
97,65,91,107
66,29,15,106
69,53,102,100
77,64,39,108
73,88,100,99
19,70,107,92
83,57,47,101
38,33,78,103
23,62,103,28
12,45,48,111
71,108,66,7
100,31,38,47
82,94,40,108
17,42,21,100
19,16,33,112
65,82,106,71
41,115,50,82
66,44,70,108
40,39,105,104
83,43,107,55
47,101,61,115
114,77,112,57
44,108,43,21
94,104,75,87
24,5,39,112
42,41,114,55
70,76,118,96
20,78,109,117
63,100,85,40
26,113,48,29
21,101,60,70
7,105,16,52
113,106,51,54
33,51,45,123
60,74,117,73
58,46,80,104
47,92,105,44
113,72,78,97
51,58,76,103
38,36,104,110
74,63,107,80
36,105,58,89
74,54,108,52
42,59,36,115
74,102,67,45
52,27,28,109
98,44,40,106
65,7,74,106
67,79,29,113
44,31,25,116
52,106,48,46
44,21,42,109
42,67,6,101
106,17,52,77
64,51,26,111
52,33,60,107
46,108,75,95
69,46,103,70
133,75,118,70
97,103,68,92
58,70,110,86
78,54,48,108
100,85,25,78
29,60,44,119
111,77,50,50
52,51,38,111
116,22,77,73
60,71,113,44
51,80,45,112
27,66,46,113
75,51,76,122
78,21,105,48
58,71,91,104
51,127,47,99
11,4,36,129
28,63,55,106
86,42,89,107
34,117,106,31
57,62,97,108
46,80,60,102
25,65,112,86
38,67,69,114
46,60,39,107
28,21,28,103
99,77,116,104
27,50,74,101
34,104,46,104
103,32,71,118
24,43,44,105
62,57,19,114
14,24,27,115
90,104,103,63
104,99,13,72
90,90,58,122
61,100,75,88
29,74,70,115
78,61,106,43
16,82,120,70
101,16,50,13
74,79,67,104
48,55,36,113
55,71,90,108
35,99,109,81
45,92,81,106
18,37,47,114
88,25,32,107
29,47,29,111
41,92,43,112
49,67,99,109
97,87,51,125
69,71,106,78
46,29,73,104
71,73,65,115
32,103,49,68
87,55,112,106
34,85,62,107
48,89,44,107
81,88,103,88
41,70,74,103
110,57,31,54
32,10,1,101
97,104,90,69
32,44,59,117
101,103,48,108
92,50,106,76
78,107,84,91
89,105,64,102
18,59,101,38
97,121,57,49
52,46,100,90
70,53,77,124
55,103,41,89
4,17,56,103
69,53,87,115
61,81,37,109
47,39,100,66
99,104,48,37
107,30,54,61
52,104,76,92
46,91,37,114
92,61,64,107
38,45,108,61
101,69,19,99
67,83,61,113
54,59,35,104
53,20,72,107
59,30,89,110
112,79,72,61
47,43,98,100
1,27,5,111
63,78,101,46
23,102,99,64
52,107,98,103
106,70,100,84
106,68,27,51
69,68,86,101
118,87,79,112
49,75,129,107
28,65,107,88
21,82,40,109
31,31,105,49
64,28,91,105
120,78,74,16
102,87,70,65
55,76,53,104
116,59,51,98
62,67,72,123
112,57,34,49
96,81,121,98
28,46,49,129
88,51,48,101
118,84,70,52
72,62,72,118
89,48,97,126
106,50,82,86
102,79,87,56
43,44,101,100
46,80,55,107
57,75,80,112
76,60,42,110
67,72,37,112
62,37,115,110
58,68,19,107
103,38,79,68
32,55,49,116
26,38,79,109
66,40,34,112
61,39,100,88
70,45,72,101
78,53,93,100
115,102,84,95
99,117,54,54
101,74,82,103
9,11,53,107
107,73,63,81
67,87,73,133
51,44,109,48
33,38,43,102
73,95,91,101
51,58,117,62
44,76,95,109
74,101,86,99
110,81,47,86
89,84,100,87
122,99,87,88
18,96,38,100
29,14,35,102
91,104,54,75
35,46,23,112
67,63,81,113
99,69,126,102
28,16,22,114
47,46,93,102
108,29,38,41
29,41,111,35
45,87,90,102
128,46,83,67
46,49,100,93
4,43,33,100
44,85,106,89
19,67,37,129
117,48,32,55
47,126,21,94
89,32,123,80
60,61,112,91
50,41,86,111
33,29,106,48
93,77,102,88
63,95,99,103
32,49,66,105
90,101,54,79
73,58,19,102
54,61,54,119
89,100,62,73
76,32,69,111
45,32,66,109
83,95,114,104
88,75,19,106
64,35,85,104
45,55,39,113
98,39,76,111
49,60,38,105
58,50,39,105
76,100,114,34
44,59,106,79
103,64,82,75
64,71,100,53
52,56,79,101
63,72,22,131
23,69,93,103
76,43,117,52
54,30,68,100
36,67,32,117
68,67,34,119
51,62,104,71
106,26,21,99
76,82,52,114
93,108,93,30
101,89,103,103
110,94,57,99
18,64,61,109
104,73,64,47
39,22,87,104
84,38,42,124
68,128,45,83
42,104,55,87
70,84,100,106
108,34,38,0
97,66,93,104
104,37,44,67
70,55,52,111
68,46,37,101
81,113,106,60
102,49,85,88
52,47,48,105
42,8,63,103
46,87,85,106
11,23,71,111
27,113,34,42
82,14,46,110
13,82,47,110
72,58,125,105
43,56,50,103
24,22,100,34
46,79,98,101
82,40,57,109
20,34,3,123
44,53,44,111
79,112,61,108
133,91,96,76
93,93,102,72
70,105,73,40
92,100,49,47
24,4,11,105
99,121,85,91
72,106,43,67
62,57,103,66
44,78,92,110
40,82,63,103
81,100,57,86
73,71,36,108
40,11,100,101
82,59,38,109
85,113,37,89
64,96,83,117
38,45,52,117
90,97,115,22
114,78,48,48
102,12,114,60
74,46,79,125
69,22,72,125
111,88,57,32
80,73,115,92
57,95,89,119
44,108,25,39
83,21,103,81
60,33,52,107
76,70,41,101
88,29,68,103
112,61,33,46
93,61,93,113
113,101,53,93
104,89,69,62
88,75,106,55
83,47,101,57
68,92,122,114
71,92,107,90
70,22,105,91
50,64,57,117
75,68,108,37
51,57,44,100
20,47,34,115
72,89,129,70
107,87,67,99
29,108,62,89
61,60,97,106
58,78,70,118
58,76,102,124
20,32,21,107
85,56,121,98
44,30,33,109
61,70,104,89
101,99,54,106
78,111,98,73
109,68,85,98
71,43,60,114
57,43,7,109
104,11,33,104
25,40,44,107
59,101,36,92
19,38,82,113
74,31,47,100
78,100,110,72
89,92,73,106
63,122,84,55
100,71,75,78
44,80,101,27
79,57,52,100
30,106,47,105
106,106,87,97
33,43,0,104
33,73,82,100
34,45,72,101
16,67,106,63
43,3,14,120
106,49,40,93
42,66,98,118
101,34,41,76
94,101,102,99
43,96,101,84
29,46,77,100
67,51,54,116
103,66,52,103
115,88,99,94
121,79,71,89
27,67,78,116
65,113,18,92
80,84,128,104
62,65,96,101
18,70,64,100
63,97,109,91
84,100,73,103
114,101,92,89
22,11,28,119
64,109,79,72
72,73,70,109
109,89,82,44
100,78,105,77
48,65,66,109
80,68,67,109
48,66,36,102
74,75,39,100
38,47,20,111
47,77,114,50
118,50,99,93
40,103,20,53
74,101,110,39
69,64,5,114
66,67,86,105
58,123,78,29
46,64,32,110
116,59,84,65
86,64,87,123
94,79,51,100
102,51,92,43
24,48,36,108
33,77,37,105
103,53,90,6
130,128,121,53
75,107,66,112
49,89,86,100
42,126,43,77
133,93,71,99
42,75,109,62
9,85,57,101
57,32,53,110
42,21,111,78
46,31,73,102
66,103,45,38
93,46,44,105
103,111,84,62
100,48,70,34
42,61,47,102
74,111,79,60
35,31,79,107
131,71,111,83
38,12,14,116
65,106,15,102
80,39,25,108
54,30,25,107
87,90,79,104
6,7,24,107
81,51,107,85
60,48,44,100
87,54,46,101
44,86,94,100
50,16,60,126
112,84,55,37
82,56,45,105
52,17,33,114
107,72,98,83
88,61,99,112
85,102,69,32
101,53,57,77
71,59,66,128
101,56,116,87
55,100,80,89
106,79,18,49
46,47,83,112
110,71,52,91
102,110,82,30
116,48,54,34
63,72,48,105
53,66,57,112
37,68,55,128
100,82,90,52
15,48,46,107
105,38,87,58
41,57,46,108
36,47,30,103
72,37,63,116
125,101,64,70
76,73,60,115
102,68,95,59
109,44,93,42
101,50,51,86
58,107,80,7
86,92,57,125
55,60,72,101
111,96,62,91
131,83,112,70
31,41,42,102
70,72,46,100
48,7,49,112
82,35,99,108
83,27,71,107
114,117,120,81
79,111,21,77
52,97,102,109
4,36,36,104
51,52,41,108
52,62,71,103
57,33,55,107
13,71,68,100
48,114,32,22
34,66,66,122
117,57,59,91
42,52,52,106
42,38,53,119
36,50,27,103
52,17,43,104
23,111,79,75
45,53,47,107
115,59,55,95
65,56,31,100
6,104,10,60
78,50,100,24
47,37,85,119
67,61,109,87
53,100,61,38
68,67,111,78
50,59,108,71
88,106,17,77
73,110,78,63
94,110,66,90
82,102,75,101
33,6,101,4
80,52,104,88
104,61,106,17
40,41,34,101
55,68,110,91
77,104,73,70
97,114,88,61
64,58,24,106
97,32,51,108
31,37,44,104
74,45,53,116
40,32,101,79
75,116,71,98
114,67,88,91
55,51,101,45
114,16,32,90
48,42,14,112
49,102,34,67
93,85,73,109
111,68,91,54
28,23,62,103
53,0,60,103
48,112,40,16
92,70,101,61
40,25,50,101
118,44,67,59
45,105,58,44
107,35,73,37
70,27,52,103
77,46,52,113
101,41,86,96
18,108,107,91
74,24,9,109
82,100,106,72
27,29,112,48
56,70,108,90
100,63,64,97
73,81,64,106
48,30,25,113
102,64,69,53
61,87,45,131
115,45,56,108
62,75,22,129
93,65,64,102
52,63,69,104
25,111,34,82
59,101,49,115
18,43,51,104
63,44,32,113
49,97,70,108
29,24,27,100
32,13,64,107
44,92,105,83
90,87,108,75
9,25,24,122
52,120,111,41
59,62,66,101
32,9,36,103
72,96,81,111
1,28,45,106
68,22,90,108
103,82,40,99
63,70,101,90
24,62,112,54
112,53,94,29
83,73,101,103
105,58,52,73
64,59,88,113
108,47,66,67
94,91,107,104
8,70,92,118
85,62,47,130
105,45,68,70
101,36,43,36
78,55,125,66
114,92,81,37
103,77,51,93
82,81,115,82
101,12,21,82
107,76,118,95
68,30,70,120
67,45,65,111
96,89,113,62
109,74,92,121
19,103,29,101
112,85,102,97
41,116,82,85
38,54,54,106
92,102,54,76
53,129,88,90
52,48,39,113
81,90,107,46
105,77,71,71
55,52,73,108
40,90,52,106
34,108,76,70
79,33,53,123
56,44,49,103
95,72,107,86
93,110,48,73
100,63,37,52
75,68,72,109
82,73,112,93
102,52,83,87
108,54,40,50
97,59,130,74
103,79,93,49
75,89,85,111
107,66,79,36
56,29,90,113
65,31,55,101
124,59,68,37
113,57,33,85
12,49,38,117
125,43,79,5
109,47,93,75
79,100,76,69
77,59,115,73
