Player1,Player2,Player3,Player4
Smart_BaseAI,Smart_BaseAI,Smart_BaseAI,Smart_HeartFeatureAI
69,9,72,102
64,108,12,104
58,60,34,100
74,52,122,76
47,110,46,85
21,8,11,104
74,106,70,74
102,29,72,85
104,43,73,32
74,111,78,61
73,83,43,125
48,22,73,109
40,62,107,43
57,40,31,124
26,97,91,110
84,70,107,99
65,102,34,51
97,82,45,100
48,30,68,106
69,107,77,107
40,129,79,76
64,51,32,105
108,36,31,41
101,26,33,20
61,65,57,105
53,83,58,130
44,40,91,113
56,26,105,65
91,102,67,64
120,61,77,66
53,114,105,52
68,92,95,105
115,53,64,56
66,100,53,69
76,102,68,78
14,56,117,29
48,101,107,104
50,51,35,116
95,61,53,115
55,17,29,115
67,102,94,97
24,41,49,102
75,34,113,66
57,91,113,63
64,110,42,108
74,93,66,127
50,69,51,118
105,77,57,85
57,84,40,107
92,103,107,94
83,90,85,102
54,103,89,114
79,100,39,106
41,61,86,100
81,80,62,101
102,101,74,47
106,47,96,75
85,72,53,114
86,104,45,53
65,61,50,112
102,68,70,48
30,39,32,115
117,70,87,86
85,55,43,105
110,88,95,67
90,84,84,102
19,68,24,105
66,68,75,115
76,96,103,49
74,60,103,15
98,102,97,63
63,62,64,135
113,63,71,77
44,42,91,111
126,81,99,90
23,32,61,100
112,63,55,58
83,100,76,65
95,60,68,101
69,90,57,108
54,81,84,105
82,126,55,97
49,84,55,100
57,103,67,97
56,81,104,83
92,10,83,103
39,49,123,77
10,49,37,120
53,99,88,120
21,16,43,100
111,103,93,89
66,40,108,74
37,63,52,100
74,68,100,46
51,61,51,125
81,99,100,80
56,101,59,108
30,6,66,114
43,24,28,121
100,70,44,110
83,101,59,81
77,71,67,109
45,104,53,14
101,65,80,42
6,4,34,100
43,46,114,85
45,68,26,113
89,104,57,74
69,60,57,102
64,46,38,104
35,20,106,91
50,42,56,104
40,100,29,83
109,60,98,93
114,23,80,107
0,105,58,17
84,64,88,124
101,14,56,81
96,50,70,108
106,111,77,30
115,74,52,47
69,118,75,98
109,34,64,45
86,102,113,59
71,43,68,106
84,113,65,26
79,108,109,64
67,93,80,120
94,118,89,95
89,40,19,104
62,102,88,108
103,51,103,67
77,28,76,107
78,26,42,106
64,67,56,101
30,68,45,109
43,97,91,129
89,97,104,106
33,65,81,109
32,46,62,112
107,78,64,75
51,38,55,108
103,96,38,87
20,27,17,116
28,29,82,113
105,78,95,82
108,99,25,56
73,34,33,112
54,101,71,62
97,47,127,89
40,34,109,105
35,76,113,64
63,51,103,71
36,40,114,62
82,79,126,37
97,49,66,112
54,77,51,106
8,9,12,115
106,59,101,58
112,23,32,49
32,56,27,101
19,40,36,121
74,37,40,101
44,111,52,45
102,54,75,57
70,42,113,27
104,69,70,81
34,11,10,125
59,106,61,98
102,117,85,92
24,101,59,32
30,34,108,44
63,80,102,79
100,34,90,100
61,43,63,121
43,43,50,116
66,23,86,113
48,44,15,109
34,30,102,50
76,95,83,106
48,61,42,101
62,73,45,108
84,90,68,118
117,78,48,45
81,65,98,116
79,24,71,114
105,60,55,68
101,83,62,78
37,102,45,104
28,104,67,89
36,58,131,63
36,43,64,109
3,57,20,100
72,116,77,59
112,17,52,35
94,59,108,99
32,46,32,106
56,79,53,100
64,38,44,106
67,61,101,95
35,106,20,91
38,59,53,102
112,28,68,44
110,82,66,66
87,108,21,72
75,31,65,117
104,84,43,93
54,106,79,85
55,86,39,108
67,25,52,108
79,83,86,112
66,113,52,93
69,72,38,109
35,55,57,105
84,10,77,117
83,58,42,105
69,46,66,107
68,64,107,85
61,58,94,111
83,93,63,121
72,100,84,68
129,60,77,94
81,105,12,54
125,81,73,81
37,93,73,121
66,41,67,114
101,64,38,85
101,75,30,82
43,60,75,110
60,108,90,102
109,67,37,75
78,96,102,84
89,117,59,131
32,53,55,112
81,79,121,79
103,86,67,68
58,21,111,98
106,67,19,96
67,95,62,100
63,56,96,109
33,50,23,110
58,37,110,83
92,98,91,115
84,104,84,88
20,82,85,101
2,8,70,100
64,18,48,122
83,54,95,128
37,117,86,48
108,73,81,62
77,86,61,100
24,95,90,115
40,45,105,98
79,25,84,100
98,83,130,121
